id	title	creator	source_page	license	license_url	commercial_use	attribution_required	decision	source_page_sha256	audited_at_utc
strong_waves_short	strong_waves_2.wav	ivolipa	https://freesound.org/people/ivolipa/sounds/368316	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	a947b9ef0e323586df94e0a4c5e1ee445dd3d91433403a297a412c58606e3051	2026-07-26T23:46:55+00:00
mount_desert_surf_long	Mt. Desert Island.wav	be-steele	https://freesound.org/people/be-steele/sounds/128239	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	e801bf0d2eafc4a7318d4483a0f81f12b0a28aa23303d25ec651d4582522a82a	2026-07-26T23:46:55+00:00
river_rapids_short	River Rapids	Breviceps	https://freesound.org/people/Breviceps/sounds/573585	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	4d31a7c973db0276b2d21d84df77f3dd82de281d184df142ee7508b004474bbe	2026-07-26T23:46:55+00:00
mountain_river_long	Mountain River 001.wav	Auxide_Audio	https://freesound.org/people/Auxide_Audio/sounds/588179	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	dec00ce437b6822c76b5f2d34c8ce16334bf04c745045a2aa9b1122b4b95514a	2026-07-26T23:46:55+00:00
frozen_lake_crack_short	Frozen Lake Ice and Water Sounds Shotgun Ice Cracking.wav	Andrew5DMII	https://freesound.org/people/Andrew5DMII/sounds/146419	Attribution 3.0	https://creativecommons.org/licenses/by/3.0/	yes	yes	accepted: commercial use with attribution	b49b64aa47af10ffa6bdb08202944ba61ecf23e631966afc2e4228c2ef1ee40a	2026-07-26T23:46:55+00:00
water_under_ice_long	AMBLake Water moving under ice, lake ambience in a windy forest, Stora Alljungen, Sweden	vhio	https://freesound.org/people/vhio/sounds/790541	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	ef82b2922c00ea238bf40b923bb1fa5043700020f91304fce1ccc8d9a4968be4	2026-07-26T23:46:55+00:00
underwater_bubbles_short	burbujas_bubbles.wav	JavierSerrat	https://freesound.org/people/JavierSerrat/sounds/464187	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	268dacc183d8914baf7c9305c9246c9b97a656b30e22fb66ab46d830a1353bdd	2026-07-26T23:46:55+00:00
underwater_river_long	Underwater (small river).mp3	melarancida	https://freesound.org/people/melarancida/sounds/48408	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	80b0a08e928e22817b99395daa1872c92965f489368f414e84f352b39ee8b245	2026-07-26T23:46:55+00:00
burning_fire_short	Fire_Burning_01.flac	wwstudioswastaken	https://freesound.org/people/wwstudioswastaken/sounds/613591	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	1199a2d7ff51ff268d464b4066d16c289ad8ee4805487326f5cbdead768e33ea	2026-07-26T23:46:55+00:00
fireplace_long	Lit Fireplace	lurpsis	https://freesound.org/people/lurpsis/sounds/444127	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	yes	no	accepted: public-domain tool	ccd4b482cc4b7f21b44f1623996c7af0f8c47895d9f38b73402afab5dfec55be	2026-07-26T23:46:55+00:00
