id	palette	topic	role	seconds	trim_start	title	creator	source_page	download_url	license	license_url	source_page_sha256	media_sha256	advertised_duration_seconds	decoded_duration_seconds	used_by
drift_gentle_ocean_l	drift	gentle_ocean	long	30	10	Gentle Ocean Waves Mix (2018)	esh9419	https://freesound.org/people/esh9419/sounds/417797	https://cdn.freesound.org/previews/417/417797_3285887-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	85b7051d52be9977b355c2b6a24a122819b4514babd15b4c7c89c3cda9bd0c95	a9865a6b05163a691bc29fe3d559533d2e147c6066b25f515a764e19b980363a	719.770000	719.769938	drift;tideforge
drift_gentle_ocean_s	drift	gentle_ocean	short	12	5	Gentle ocean waves birdsong and gull.WAV	jackmichaelking	https://freesound.org/people/jackmichaelking/sounds/518637	https://cdn.freesound.org/previews/518/518637_6089496-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	f7019356de72653530d50b7147edc3903be2f964ed61b5c5c9d3208ac7233466	8b6c1785953eccb1d79388a036cc83c9d4b8385d3e81a603cd936646e33b0817	115.094000	115.094059	drift;tideforge
drift_rocky_surf_l	drift	rocky_surf	long	30	10	Surf_Rocky.m4a	hopperp56	https://freesound.org/people/hopperp56/sounds/510896	https://cdn.freesound.org/previews/510/510896_4539960-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	8aae7a696b8167ead3db78e17e3cdcffab27fc5b8d2d357b3bfeb8fde8332a07	66c4405d78f6c7929417b609450b3af374984b9a9c78baea9e6a3b9f1814afec	288.128000	288.128000	drift
drift_rocky_surf_s	drift	rocky_surf	short	12	5	Black Sand Beach Walk.wav	deepseapro	https://freesound.org/people/deepseapro/sounds/376874	https://cdn.freesound.org/previews/376/376874_2401023-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	052afc6b681e1a78fb34166355fe241c56a8173a8d7ba284abb757e412431ec6	52e588981110d33139829a60ef6527b410400f8ccfd0738452cd9febdc20a8ef	564.797000	564.796961	drift
drift_quiet_river_l	drift	quiet_river	long	30	8.688	Hydrophone underwater stream quiet.wav	JavierZumer	https://freesound.org/people/JavierZumer/sounds/422663	https://cdn.freesound.org/previews/422/422663_2836758-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	359e84413e739ace54fc45a1120eb95d143b6b9e263e5e491b0ab28db69dadee	f443393ca00f7f821a8dc5cd5035ed028df7e3edf08fd02c4bd01dd8b8f9fb50	56.064000	56.064000	drift;tideforge
drift_quiet_river_s	drift	quiet_river	short	12	5	Ambiance_River_Flow_Small_Loop_Stereo.wav	Nox_Sound	https://freesound.org/people/Nox_Sound/sounds/479321	https://cdn.freesound.org/previews/479/479321_9250976-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	41e0cfb8b35b31b2bb020256e72f060cb38aecd0bea6a1459f6479c5156c9502	6936b7ab8b09d4fb5f4fe581084246c37b0aa94aac81282df4b7edb0fc1f2448	34.209000	34.209563	drift;tideforge
drift_forest_creek_l	drift	forest_creek	long	30	10	Creek - Forest - Nature - Loop - Bach - Wald - Natur	IchBinChrist	https://freesound.org/people/IchBinChrist/sounds/384276	https://cdn.freesound.org/previews/384/384276_3216899-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	c8be1927404c59d6083c23da63377e676c936b8456c58d559f44a25aaef4423b	c4dbc5b312f75e75f8181f0bb7de86a33b1ed6ba899bbfb2c688d3f0449df07a	234.720000	234.720000	drift
drift_forest_creek_s	drift	forest_creek	short	12	5	Spring Creek Deep Forest March 28 2021.mp3	kvgarlic	https://freesound.org/people/kvgarlic/sounds/566283	https://cdn.freesound.org/previews/566/566283_1050391-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	007f9846dabcc98c91af3a034da3f3a67afa6bb94ebfa79b87b54054633fd812	a65b5b6ed64c04f12fad706f0adbc76e5cb4c76e65c130014af76f4b9e819a11	633.954000	633.953719	drift
drift_waterfall_l	drift	waterfall	long	30	10	nature-waterfall-Blaafarveverket-090721.wav	ra_gun	https://freesound.org/people/ra_gun/sounds/81272	https://cdn.freesound.org/previews/81/81272_94000-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	2e71cbd6dd34c73aa5d76e25e649429a9f11d7ae1ab95cc78e16a663b2192f2d	965441e47c8b6d9953610d80a4a5dcd564f056d6ab66ccaf5d150a27bf13b413	60.240000	60.240000	drift;tideforge
drift_waterfall_s	drift	waterfall	short	12	5	Ambiance_Waterfall_Loop_01.wav	Nox_Sound	https://freesound.org/people/Nox_Sound/sounds/511078	https://cdn.freesound.org/previews/511/511078_9250976-hq.mp3	Creative Commons 0	https://creativecommons.org/publicdomain/zero/1.0/	63e2e9801aad35a39293a9bdca99f808050f3363b50b9b1824efb862ea9fdc0d	ff4bc4584ceb25cfce44b311d247e7f951d92b6c3bf6d9a5c53ec70b66659480	29.253000	29.252979	drift;tideforge
