source_page	download_url	creator	license	license_url	source_page_sha256	used_by
https://bigsoundbank.com/atmosphere-bar-2-s0480.html	https://bigsoundbank.com/UPLOAD/mp3/0480.mp3	David Greck	CC0 1.0	https://bigsoundbank.com/licenses.html	d1ae43b19ef45d9384acd9a07b1cb0f4579d6a2f297addc9283cefb345f47637	conv1/bar_atmosphere_long;conv2/bar_atmosphere_long;conv3/bar_atmosphere_long
https://bigsoundbank.com/beer-compressor-1-s3091.html	https://bigsoundbank.com/UPLOAD/mp3/3091.mp3	Joseph Sardin	CC0 1.0	https://bigsoundbank.com/licenses.html	9e6c2fe720b7c98a653f4b004784cdd2784a8eb403864a881292358cfc16e373	conv1/beer_compressor_long;conv2/beer_compressor_long;conv3/beer_compressor_long
https://bigsoundbank.com/campaign-at-night-4-s1880.html	https://bigsoundbank.com/UPLOAD/mp3/1880.mp3	Joseph Sardin	CC0 1.0	https://bigsoundbank.com/licenses.html	4e1b77199bb9b1adc4858c15c349938f052e084f6e3e7e5bea7ba4211a1474d8	conv1/countryside_night_long;conv2/countryside_night_long;conv3/countryside_night_long
https://bigsoundbank.com/chambord-castle-france-3-s3433.html	https://bigsoundbank.com/UPLOAD/mp3/3433.mp3	Joseph Sardin & Axeline T.	CC0 1.0	https://bigsoundbank.com/licenses.html	6b6b625aea46173de6dfa364250c569dda4aad49bbaec9cb80e2cca752737bc8	conv1/chambord_castle_long;conv2/chambord_castle_long;conv3/chambord_castle_long
https://bigsoundbank.com/dock-gare-du-nord-paris-s0647.html	https://bigsoundbank.com/UPLOAD/mp3/0647.mp3	Joseph Sardin	CC0 1.0	https://bigsoundbank.com/licenses.html	00573d2c0d2e0b8f5583b18e758e0427f5c275676861a7cb9e6db42dde660877	conv1/gare_du_nord_long;conv2/gare_du_nord_long;conv3/gare_du_nord_long
https://bigsoundbank.com/flock-sheep-and-cows-s3220.html	https://bigsoundbank.com/UPLOAD/mp3/3220.mp3	Joseph Sardin & Axeline T.	CC0 1.0	https://bigsoundbank.com/licenses.html	26498b9bf4d40be1637229917d5042bb55ab9854d4c1cb36847662f1ed5c9397	conv1/sheep_cows_long;conv2/sheep_cows_long;conv3/sheep_cows_long
https://bigsoundbank.com/forest-and-stream-1-s2713.html	https://bigsoundbank.com/UPLOAD/mp3/2713.mp3	Pierre Sibanarco	CC0 1.0	https://bigsoundbank.com/licenses.html	1067ce29490fc2a6d9c1a4fc30a93cd94de64183fdc6d128c4b5401597a62f23	conv1/forest_stream_long;conv2/forest_stream_long;conv3/forest_stream_long
https://bigsoundbank.com/forest-on-the-edge-s0905.html	https://bigsoundbank.com/UPLOAD/mp3/0905.mp3	Joseph Sardin	CC0 1.0	https://bigsoundbank.com/licenses.html	faba2f590e3ac28aad00f71c24f188a2d6ce11c6d0dc25bae92f592f0acfef29	conv1/forest_edge_long;conv2/forest_edge_long;conv3/forest_edge_long
https://bigsoundbank.com/forest-s0100.html	https://bigsoundbank.com/UPLOAD/mp3/0100.mp3	Joseph Sardin	CC0 1.0	https://bigsoundbank.com/licenses.html	ea054c04435f9538170b7a9ba2ca6c51abe2f99b4c3bfc692b1d5ec0d83dfefa	conv1/forest_ambience;conv2/forest_ambience;conv3/forest_ambience
https://bigsoundbank.com/gulls-on-the-harbor-s2573.html	https://bigsoundbank.com/UPLOAD/mp3/2573.mp3	Joseph Sardin	CC0 1.0	https://bigsoundbank.com/licenses.html	b32d710028a6a7f622fc05e2dbf7a71c57a5943577e281b2020cbe1a246f715e	conv1/harbor_gulls_long;conv2/harbor_gulls_long;conv3/harbor_gulls_long
https://bigsoundbank.com/heidelberg-printing-press-7-s3410.html	https://bigsoundbank.com/UPLOAD/mp3/3410.mp3	Mireille B.	CC0 1.0	https://bigsoundbank.com/licenses.html	02e78ee74be399d3f5b98f00700cc52897325fde67596965407484b21593d05f	conv1/printing_press_long;conv2/printing_press_long;conv3/printing_press_long
