index	name	root_step	chord_steps	frequencies_hz
0	edo13_00	0	0;4;8	110.000000;136.149891;168.516299
1	edo13_01	1	1;5;9	116.024268;143.606287;177.745276
2	edo13_02	2	2;6;10	122.378462;151.471040;187.479687
3	edo13_03	3	3;7;11	129.080651;159.766514;197.747214
4	edo13_04	4	4;8;12	136.149891;168.516299;208.577053
5	edo13_05	5	5;9;0	143.606287;177.745276;110.000000
6	edo13_06	6	6;10;1	151.471040;187.479687;116.024268
7	edo13_07	7	7;11;2	159.766514;197.747214;122.378462
8	edo13_08	8	8;12;3	168.516299;208.577053;129.080651
9	edo13_09	9	9;0;4	177.745276;110.000000;136.149891
10	edo13_10	10	10;1;5	187.479687;116.024268;143.606287
11	edo13_11	11	11;2;6	197.747214;122.378462;151.471040
12	edo13_12	12	12;3;7	208.577053;129.080651;159.766514
