id	role	trim_start	source
commons_market_s	short	3.452	https://cdn.freesound.org/previews/407/407154_612689-hq.mp3
commons_restaurant_s	short	5	https://cdn.freesound.org/previews/372/372610_123355-hq.mp3
commons_cafe_s	short	5	https://cdn.freesound.org/previews/577/577104_832398-hq.mp3
commons_cafeteria_s	short	5	https://cdn.freesound.org/previews/450/450402_612689-hq.mp3
commons_playground_s	short	5	https://cdn.freesound.org/previews/705/705006_3315462-hq.mp3
commons_stadium_s	short	4.625	https://cdn.freesound.org/previews/649/649156_7149873-hq.mp3
commons_protest_s	short	5	https://cdn.freesound.org/previews/330/330985_2104797-hq.mp3
commons_parade_s	short	5	https://cdn.freesound.org/previews/637/637454_612689-hq.mp3
commons_festival_s	short	5	https://cdn.freesound.org/previews/315/315888_5356267-hq.mp3
commons_carnival_s	short	5	https://cdn.freesound.org/previews/126/126661_296888-hq.mp3
commons_church_s	short	5	https://cdn.freesound.org/previews/36/36628_35711-hq.mp3
commons_choir_rehearsal_s	short	5	https://cdn.freesound.org/previews/256/256277_989468-hq.mp3
commons_theater_s	short	5	https://cdn.freesound.org/previews/453/453727_612689-hq.mp3
commons_orchestra_tuning_s	short	5	https://cdn.freesound.org/previews/518/518549_8140496-hq.mp3
commons_library_s	short	5	https://cdn.freesound.org/previews/620/620683_13504080-hq.mp3
commons_museum_s	short	5	https://cdn.freesound.org/previews/580/580539_1810340-hq.mp3
commons_hospital_s	short	5	https://cdn.freesound.org/previews/640/640627_7891112-hq.mp3
commons_office_s	short	5	https://cdn.freesound.org/previews/438/438135_2524442-hq.mp3
commons_airport_terminal_s	short	5	https://cdn.freesound.org/previews/404/404965_612689-hq.mp3
commons_shopping_mall_s	short	5	https://cdn.freesound.org/previews/333/333940_2364707-hq.mp3
commons_hotel_lobby_s	short	5	https://cdn.freesound.org/previews/117/117618_1160789-hq.mp3
commons_auction_s	short	5	https://cdn.freesound.org/previews/133/133820_2337290-hq.mp3
commons_city_square_s	short	5	https://cdn.freesound.org/previews/276/276970_5272893-hq.mp3
commons_wedding_s	short	2.34	https://cdn.freesound.org/previews/414/414292_7602881-hq.mp3
commons_market_l	long	10	https://cdn.freesound.org/previews/450/450589_612689-hq.mp3
commons_restaurant_l	long	10	https://cdn.freesound.org/previews/265/265870_2150067-hq.mp3
commons_cafe_l	long	0.29	https://cdn.freesound.org/previews/509/509950_4458028-hq.mp3
commons_cafeteria_l	long	3.013	https://cdn.freesound.org/previews/175/175831_2507638-hq.mp3
commons_playground_l	long	7.075	https://cdn.freesound.org/previews/710/710743_4043400-hq.mp3
commons_stadium_l	long	10	https://cdn.freesound.org/previews/528/528799_11431915-hq.mp3
commons_protest_l	long	10	https://cdn.freesound.org/previews/330/330975_2104797-hq.mp3
commons_parade_l	long	10	https://cdn.freesound.org/previews/451/451354_612689-hq.mp3
commons_festival_l	long	10	https://cdn.freesound.org/previews/197/197229_770707-hq.mp3
commons_carnival_l	long	4.782	https://cdn.freesound.org/previews/675/675012_2524442-hq.mp3
commons_church_l	long	6.116	https://cdn.freesound.org/previews/180/180330_3356065-hq.mp3
commons_choir_rehearsal_l	long	8.382	https://cdn.freesound.org/previews/218/218379_4070508-hq.mp3
commons_theater_l	long	10	https://cdn.freesound.org/previews/634/634752_13504080-hq.mp3
commons_orchestra_tuning_l	long	6.839	https://cdn.freesound.org/previews/434/434592_5037446-hq.mp3
commons_library_l	long	10	https://cdn.freesound.org/previews/613/613781_13504080-hq.mp3
commons_museum_l	long	10	https://cdn.freesound.org/previews/580/580538_1810340-hq.mp3
commons_hospital_l	long	10	https://cdn.freesound.org/previews/618/618353_7891112-hq.mp3
commons_office_l	long	10	https://cdn.freesound.org/previews/460/460082_1505134-hq.mp3
commons_airport_terminal_l	long	10	https://cdn.freesound.org/previews/455/455729_612689-hq.mp3
commons_shopping_mall_l	long	10	https://cdn.freesound.org/previews/429/429068_4437257-hq.mp3
commons_hotel_lobby_l	long	7.823	https://cdn.freesound.org/previews/675/675170_2524442-hq.mp3
commons_auction_l	long	10	https://cdn.freesound.org/previews/133/133821_2337290-hq.mp3
commons_city_square_l	long	10	https://cdn.freesound.org/previews/639/639703_3265745-hq.mp3
commons_wedding_l	long	10	https://cdn.freesound.org/previews/362/362353_2622803-hq.mp3
