id	role	trim_start	source
gamelan_court	short	10	https://cdn.freesound.org/previews/423/423647_7554526-hq.mp3
montreal_bagpipe_parade	short	238.0	https://cdn.freesound.org/previews/453/453868_612689-hq.mp3
taiko_drummers	short	0.0	https://cdn.freesound.org/previews/629/629930_612689-hq.mp3
tabla_percussion	short	0.0	https://cdn.freesound.org/previews/719/719950_7413715-hq.mp3
cello_improvisation	short	12.2	https://cdn.freesound.org/previews/46/46711_395166-hq.mp3
toy_piano_breakdown	short	10.2	https://cdn.freesound.org/previews/200/200415_8936-hq.mp3
doepfer_random_melody	short	163.8	https://cdn.freesound.org/previews/362/362764_1391542-hq.mp3
astana_brass_band	short	35.8	https://cdn.freesound.org/previews/350/350355_2364707-hq.mp3
chopin_string_quartet	short	566.7	https://upload.wikimedia.org/wikipedia/commons/a/a4/Chopin_-_Piano_Concerto_no._1%2C_Op._11_%28string_quartet%29-2.ogg
handpan_strikes	short	1	https://cdn.freesound.org/previews/568/568142_4819210-hq.mp3
madrid_street_accordion	short	10	https://cdn.freesound.org/previews/452/452410_612689-hq.mp3
blues_harmonica	short	10.7	https://cdn.freesound.org/previews/403/403104_7814793-hq.mp3
electric_mbira	short	312.3	https://cdn.freesound.org/previews/485/485855_5114707-hq.mp3
didgeridoo_shaker_drum	short	1	https://cdn.freesound.org/previews/338/338320_4977896-hq.mp3
opera_rehearsal	short	156.6	https://cdn.freesound.org/previews/190/190951_98337-hq.mp3
hamburg_church_bells	short	10	https://cdn.freesound.org/previews/547/547982_11519060-hq.mp3
seoul_sanchon_drum	short	1	https://cdn.freesound.org/previews/315/315885_5356267-hq.mp3
marching_band	short	10	https://cdn.freesound.org/previews/629/629843_612689-hq.mp3
big_band_warmup	short	142.8	https://cdn.freesound.org/previews/399/399039_2291385-hq.mp3
spanish_guitar_improvisation	short	10.7	https://cdn.freesound.org/previews/404/404952_3480533-hq.mp3
christe_choir	short	10	https://cdn.freesound.org/previews/273/273804_4875045-hq.mp3
prospect_drum_circle	short	123.9	https://cdn.freesound.org/previews/548/548158_2267785-hq.mp3
techno_loco	short	10	https://cdn.freesound.org/previews/398/398640_7237125-hq.mp3
gifu_pipe_organ	short	173.5	https://cdn.freesound.org/previews/735/735541_50975-hq.mp3
thunder_mountain	long	10	https://cdn.freesound.org/previews/136/136596_2115643-hq.mp3
inside_car_wash	long	0.0	https://cdn.freesound.org/previews/521/521226_9958472-hq.mp3
peru_new_year_fireworks	long	181.2	https://cdn.freesound.org/previews/140/140350_1661766-hq.mp3
efteling_steam_train	long	10	https://cdn.freesound.org/previews/125/125211_1848966-hq.mp3
helicopter_takeoff	long	123.3	https://cdn.freesound.org/previews/172/172649_2262806-hq.mp3
scuba_bubbles	long	10	https://cdn.freesound.org/previews/634/634225_13988658-hq.mp3
building_demolition	long	317.4	https://cdn.freesound.org/previews/495/495269_2247456-hq.mp3
finnish_blacksmith	long	10	https://cdn.freesound.org/previews/137/137836_977564-hq.mp3
cattle_auction	long	108.5	https://cdn.freesound.org/previews/717/717434_97550-hq.mp3
ferry_alarm	long	1	https://cdn.freesound.org/previews/440/440628_1481531-hq.mp3
flooded_mine	long	10	https://cdn.freesound.org/previews/394/394596_1854719-hq.mp3
cappuccino_process	long	93.1	https://cdn.freesound.org/previews/624/624512_9083-hq.mp3
tennis_match	long	266.7	https://cdn.freesound.org/previews/114/114052_190760-hq.mp3
chainsaw_cycle	long	79.8	https://cdn.freesound.org/previews/512/512791_5804919-hq.mp3
near_foghorn	long	10	https://cdn.freesound.org/previews/140/140898_1810340-hq.mp3
barcelona_gate_pa	long	10	https://cdn.freesound.org/previews/688/688778_14220990-hq.mp3
delhi_subway_cycle	long	363.5	https://cdn.freesound.org/previews/637/637860_612689-hq.mp3
hockey_goal	long	10	https://cdn.freesound.org/previews/542/542621_4175983-hq.mp3
ambulance_siren	long	149.5	https://cdn.freesound.org/previews/546/546946_2267785-hq.mp3
woodshop_process	long	125.4	https://cdn.freesound.org/previews/251/251645_2470637-hq.mp3
tractor_turning_hay	long	10	https://cdn.freesound.org/previews/673/673805_14577615-hq.mp3
hail_thunder	long	51.2	https://cdn.freesound.org/previews/342/342239_3631953-hq.mp3
marielle_protest	long	121.3	https://cdn.freesound.org/previews/421/421973_1661766-hq.mp3
hair_salon_tools	long	49.6	https://cdn.freesound.org/previews/706/706146_1661766-hq.mp3
