id	role	trim_start	source
drift_gentle_ocean_s	short	5	https://cdn.freesound.org/previews/518/518637_6089496-hq.mp3
drift_rocky_surf_s	short	5	https://cdn.freesound.org/previews/376/376874_2401023-hq.mp3
drift_quiet_river_s	short	5	https://cdn.freesound.org/previews/479/479321_9250976-hq.mp3
drift_forest_creek_s	short	5	https://cdn.freesound.org/previews/566/566283_1050391-hq.mp3
drift_waterfall_s	short	5	https://cdn.freesound.org/previews/511/511078_9250976-hq.mp3
drift_light_rain_s	short	5	https://cdn.freesound.org/previews/629/629003_6342935-hq.mp3
drift_rain_roof_s	short	5	https://cdn.freesound.org/previews/650/650427_13558226-hq.mp3
drift_pine_wind_s	short	5	https://cdn.freesound.org/previews/654/654566_691380-hq.mp3
drift_rustling_leaves_s	short	5	https://cdn.freesound.org/previews/523/523389_2010973-hq.mp3
drift_meadow_s	short	5	https://cdn.freesound.org/previews/269/269559_5126800-hq.mp3
drift_mountain_wind_s	short	5	https://cdn.freesound.org/previews/486/486891_9872712-hq.mp3
drift_desert_wind_s	short	5	https://cdn.freesound.org/previews/796/796194_3557494-hq.mp3
drift_lake_shore_s	short	5	https://cdn.freesound.org/previews/705/705034_8356325-hq.mp3
drift_pond_s	short	0.955	https://cdn.freesound.org/previews/405/405135_3958938-hq.mp3
drift_marsh_s	short	5	https://cdn.freesound.org/previews/633/633817_7846219-hq.mp3
drift_cave_drops_s	short	3.669	https://cdn.freesound.org/previews/583/583804_7841129-hq.mp3
drift_underwater_s	short	5	https://cdn.freesound.org/previews/482/482116_9250976-hq.mp3
drift_harbor_water_s	short	5	https://cdn.freesound.org/previews/672/672692_9551767-hq.mp3
drift_bamboo_s	short	5	https://cdn.freesound.org/previews/546/546986_6299643-hq.mp3
drift_rainforest_s	short	5	https://cdn.freesound.org/previews/333/333222_2364707-hq.mp3
drift_snow_forest_s	short	5	https://cdn.freesound.org/previews/569/569088_3625175-hq.mp3
drift_countryside_dawn_s	short	5	https://cdn.freesound.org/previews/458/458113_300738-hq.mp3
drift_countryside_night_s	short	5	https://cdn.freesound.org/previews/118/118419_540291-hq.mp3
drift_garden_s	short	5	https://cdn.freesound.org/previews/516/516548_1481531-hq.mp3
drift_gentle_ocean_l	long	10	https://cdn.freesound.org/previews/417/417797_3285887-hq.mp3
drift_rocky_surf_l	long	10	https://cdn.freesound.org/previews/510/510896_4539960-hq.mp3
drift_quiet_river_l	long	8.688	https://cdn.freesound.org/previews/422/422663_2836758-hq.mp3
drift_forest_creek_l	long	10	https://cdn.freesound.org/previews/384/384276_3216899-hq.mp3
drift_waterfall_l	long	10	https://cdn.freesound.org/previews/81/81272_94000-hq.mp3
drift_light_rain_l	long	10	https://cdn.freesound.org/previews/270/270349_3366749-hq.mp3
drift_rain_roof_l	long	10	https://cdn.freesound.org/previews/650/650428_13558226-hq.mp3
drift_pine_wind_l	long	10	https://cdn.freesound.org/previews/655/655501_1661766-hq.mp3
drift_rustling_leaves_l	long	2.036	https://cdn.freesound.org/previews/378/378725_6692504-hq.mp3
drift_meadow_l	long	10	https://cdn.freesound.org/previews/585/585809_1045209-hq.mp3
drift_mountain_wind_l	long	10	https://cdn.freesound.org/previews/486/486894_9872712-hq.mp3
drift_desert_wind_l	long	3.714	https://cdn.freesound.org/previews/697/697217_7678208-hq.mp3
drift_lake_shore_l	long	10	https://cdn.freesound.org/previews/399/399741_450294-hq.mp3
drift_pond_l	long	10	https://cdn.freesound.org/previews/573/573823_97550-hq.mp3
drift_marsh_l	long	10	https://cdn.freesound.org/previews/547/547690_11069322-hq.mp3
drift_cave_drops_l	long	5.856	https://cdn.freesound.org/previews/609/609161_938246-hq.mp3
drift_underwater_l	long	4.667	https://cdn.freesound.org/previews/567/567347_12735833-hq.mp3
drift_harbor_water_l	long	10	https://cdn.freesound.org/previews/672/672690_9551767-hq.mp3
drift_bamboo_l	long	10	https://cdn.freesound.org/previews/339/339331_5328817-hq.mp3
drift_rainforest_l	long	10	https://cdn.freesound.org/previews/333/333225_2364707-hq.mp3
drift_snow_forest_l	long	10	https://cdn.freesound.org/previews/609/609035_2282212-hq.mp3
drift_countryside_dawn_l	long	10	https://cdn.freesound.org/previews/466/466242_1481531-hq.mp3
drift_countryside_night_l	long	10	https://cdn.freesound.org/previews/581/581430_12244617-hq.mp3
drift_garden_l	long	3.444	https://cdn.freesound.org/previews/157/157921_544580-hq.mp3
