id	role	trim_start	source
foundry_factory_s	short	5	https://cdn.freesound.org/previews/414/414534_6694545-hq.mp3
foundry_metal_shop_s	short	5	https://cdn.freesound.org/previews/169/169176_1591616-hq.mp3
foundry_blacksmith_s	short	5	https://cdn.freesound.org/previews/386/386393_1655965-hq.mp3
foundry_welding_s	short	5	https://cdn.freesound.org/previews/337/337449_3474310-hq.mp3
foundry_grinder_s	short	2.971	https://cdn.freesound.org/previews/659/659926_13767047-hq.mp3
foundry_circular_saw_s	short	5	https://cdn.freesound.org/previews/383/383442_7146007-hq.mp3
foundry_chainsaw_s	short	3.375	https://cdn.freesound.org/previews/396/396464_994215-hq.mp3
foundry_woodshop_s	short	5	https://cdn.freesound.org/previews/380/380204_6692504-hq.mp3
foundry_printing_press_s	short	4.161	https://cdn.freesound.org/previews/637/637769_612689-hq.mp3
foundry_sewing_s	short	4.874	https://cdn.freesound.org/previews/133/133048_920451-hq.mp3
foundry_laundromat_s	short	5	https://cdn.freesound.org/previews/454/454465_612689-hq.mp3
foundry_dishwasher_s	short	5	https://cdn.freesound.org/previews/124/124434_296888-hq.mp3
foundry_coffee_machine_s	short	5	https://cdn.freesound.org/previews/394/394691_5450487-hq.mp3
foundry_pneumatic_drill_s	short	4.375	https://cdn.freesound.org/previews/337/337096_3474310-hq.mp3
foundry_jackhammer_s	short	5	https://cdn.freesound.org/previews/326/326634_3503905-hq.mp3
foundry_demolition_s	short	5	https://cdn.freesound.org/previews/365/365201_179538-hq.mp3
foundry_hammering_s	short	5	https://cdn.freesound.org/previews/407/407332_612689-hq.mp3
foundry_power_drill_s	short	5	https://cdn.freesound.org/previews/516/516604_3874107-hq.mp3
foundry_compressor_s	short	3.225	https://cdn.freesound.org/previews/338/338970_1850267-hq.mp3
foundry_generator_s	short	1.531	https://cdn.freesound.org/previews/382/382687_5051822-hq.mp3
foundry_turbine_s	short	5	https://cdn.freesound.org/previews/403/403226_116752-hq.mp3
foundry_pump_room_s	short	5	https://cdn.freesound.org/previews/453/453424_612689-hq.mp3
foundry_conveyor_s	short	5	https://cdn.freesound.org/previews/454/454082_612689-hq.mp3
foundry_quarry_s	short	5	https://cdn.freesound.org/previews/476/476317_2337290-hq.mp3
foundry_factory_l	long	10	https://cdn.freesound.org/previews/615/615436_2282212-hq.mp3
foundry_metal_shop_l	long	10	https://cdn.freesound.org/previews/475/475217_7872308-hq.mp3
foundry_blacksmith_l	long	6.667	https://cdn.freesound.org/previews/254/254371_436215-hq.mp3
foundry_welding_l	long	10	https://cdn.freesound.org/previews/337/337444_3474310-hq.mp3
foundry_grinder_l	long	10	https://cdn.freesound.org/previews/501/501171_8644110-hq.mp3
foundry_circular_saw_l	long	0.403	https://cdn.freesound.org/previews/335/335437_5848334-hq.mp3
foundry_chainsaw_l	long	10	https://cdn.freesound.org/previews/558/558580_6652872-hq.mp3
foundry_woodshop_l	long	10	https://cdn.freesound.org/previews/586/586168_6911631-hq.mp3
foundry_printing_press_l	long	5.461	https://cdn.freesound.org/previews/675/675545_2524442-hq.mp3
foundry_sewing_l	long	3.665	https://cdn.freesound.org/previews/187/187730_1500538-hq.mp3
foundry_laundromat_l	long	10	https://cdn.freesound.org/previews/454/454459_612689-hq.mp3
foundry_dishwasher_l	long	10	https://cdn.freesound.org/previews/192/192353_3526460-hq.mp3
foundry_coffee_machine_l	long	7.528	https://cdn.freesound.org/previews/670/670291_14466062-hq.mp3
foundry_pneumatic_drill_l	long	10	https://cdn.freesound.org/previews/707/707974_2190378-hq.mp3
foundry_jackhammer_l	long	10	https://cdn.freesound.org/previews/453/453828_612689-hq.mp3
foundry_demolition_l	long	10	https://cdn.freesound.org/previews/350/350882_2287090-hq.mp3
foundry_hammering_l	long	2.378	https://cdn.freesound.org/previews/383/383726_7146007-hq.mp3
foundry_power_drill_l	long	3.309	https://cdn.freesound.org/previews/516/516602_3874107-hq.mp3
foundry_compressor_l	long	10	https://cdn.freesound.org/previews/478/478118_10201334-hq.mp3
foundry_generator_l	long	0.205	https://cdn.freesound.org/previews/326/326254_5600514-hq.mp3
foundry_turbine_l	long	10	https://cdn.freesound.org/previews/321/321719_40875-hq.mp3
foundry_pump_room_l	long	10	https://cdn.freesound.org/previews/637/637521_612689-hq.mp3
foundry_conveyor_l	long	10	https://cdn.freesound.org/previews/519/519027_2247456-hq.mp3
foundry_quarry_l	long	10	https://cdn.freesound.org/previews/476/476318_2337290-hq.mp3
