id	role	trim_start	source
menagerie_songbirds_s	short	5	https://cdn.freesound.org/previews/336/336666_1575560-hq.mp3
menagerie_owls_s	short	5	https://cdn.freesound.org/previews/638/638700_1661766-hq.mp3
menagerie_frogs_s	short	5	https://cdn.freesound.org/previews/692/692921_3195919-hq.mp3
menagerie_crickets_s	short	5	https://cdn.freesound.org/previews/567/567944_97550-hq.mp3
menagerie_cicadas_s	short	4.229	https://cdn.freesound.org/previews/493/493058_2058051-hq.mp3
menagerie_beehive_s	short	5	https://cdn.freesound.org/previews/467/467224_2573247-hq.mp3
menagerie_sheep_s	short	5	https://cdn.freesound.org/previews/538/538439_11519060-hq.mp3
menagerie_cattle_s	short	5	https://cdn.freesound.org/previews/415/415056_5433844-hq.mp3
menagerie_horses_s	short	5	https://cdn.freesound.org/previews/121/121129_2140699-hq.mp3
menagerie_dogs_s	short	5	https://cdn.freesound.org/previews/433/433864_138-hq.mp3
menagerie_cats_s	short	5	https://cdn.freesound.org/previews/262/262955_128837-hq.mp3
menagerie_chickens_s	short	5	https://cdn.freesound.org/previews/51/51766_612689-hq.mp3
menagerie_ducks_s	short	4.383	https://cdn.freesound.org/previews/689/689803_1121623-hq.mp3
menagerie_geese_s	short	5	https://cdn.freesound.org/previews/470/470035_9564355-hq.mp3
menagerie_seagulls_s	short	5	https://cdn.freesound.org/previews/462/462462_2752236-hq.mp3
menagerie_crows_s	short	5	https://cdn.freesound.org/previews/348/348057_2364707-hq.mp3
menagerie_monkeys_s	short	5	https://cdn.freesound.org/previews/490/490315_1441734-hq.mp3
menagerie_elephants_s	short	5	https://cdn.freesound.org/previews/479/479813_2524442-hq.mp3
menagerie_lions_s	short	1.969	https://cdn.freesound.org/previews/69/69571_706955-hq.mp3
menagerie_wolves_s	short	5	https://cdn.freesound.org/previews/651/651193_801011-hq.mp3
menagerie_whales_s	short	5	https://cdn.freesound.org/previews/82/82325_1299633-hq.mp3
menagerie_dolphins_s	short	4.283	https://cdn.freesound.org/previews/437/437947_2524442-hq.mp3
menagerie_pigs_s	short	5	https://cdn.freesound.org/previews/467/467570_8031303-hq.mp3
menagerie_goats_s	short	5	https://cdn.freesound.org/previews/272/272458_3658882-hq.mp3
menagerie_songbirds_l	long	10	https://cdn.freesound.org/previews/336/336667_1575560-hq.mp3
menagerie_owls_l	long	10	https://cdn.freesound.org/previews/549/549275_12323168-hq.mp3
menagerie_frogs_l	long	10	https://cdn.freesound.org/previews/684/684900_11751758-hq.mp3
menagerie_crickets_l	long	10	https://cdn.freesound.org/previews/645/645706_13222620-hq.mp3
menagerie_cicadas_l	long	10	https://cdn.freesound.org/previews/493/493059_2058051-hq.mp3
menagerie_beehive_l	long	10	https://cdn.freesound.org/previews/353/353198_2120176-hq.mp3
menagerie_sheep_l	long	10	https://cdn.freesound.org/previews/541/541212_542096-hq.mp3
menagerie_cattle_l	long	6.686	https://cdn.freesound.org/previews/645/645862_5902878-hq.mp3
menagerie_horses_l	long	7.921	https://cdn.freesound.org/previews/266/266366_1276125-hq.mp3
menagerie_dogs_l	long	10	https://cdn.freesound.org/previews/237/237798_2971294-hq.mp3
menagerie_cats_l	long	2.578	https://cdn.freesound.org/previews/130/130968_2330675-hq.mp3
menagerie_chickens_l	long	2.349	https://cdn.freesound.org/previews/346/346961_2367065-hq.mp3
menagerie_ducks_l	long	10	https://cdn.freesound.org/previews/616/616827_97550-hq.mp3
menagerie_geese_l	long	2.88	https://cdn.freesound.org/previews/651/651256_14160594-hq.mp3
menagerie_seagulls_l	long	10	https://cdn.freesound.org/previews/457/457613_627541-hq.mp3
menagerie_crows_l	long	10	https://cdn.freesound.org/previews/348/348058_2364707-hq.mp3
menagerie_monkeys_l	long	1.855	https://cdn.freesound.org/previews/256/256873_2134280-hq.mp3
menagerie_elephants_l	long	10	https://cdn.freesound.org/previews/437/437977_2524442-hq.mp3
menagerie_lions_l	long	2.06	https://cdn.freesound.org/previews/405/405211_1661766-hq.mp3
menagerie_wolves_l	long	1.1	https://cdn.freesound.org/previews/158/158780_229952-hq.mp3
menagerie_whales_l	long	10	https://cdn.freesound.org/previews/504/504772_10868231-hq.mp3
menagerie_dolphins_l	long	10	https://cdn.freesound.org/previews/385/385796_4438201-hq.mp3
menagerie_pigs_l	long	10	https://cdn.freesound.org/previews/233/233269_4056007-hq.mp3
menagerie_goats_l	long	10	https://cdn.freesound.org/previews/192/192693_2254206-hq.mp3
