id	role	trim_start	source
passage_train_station_s	short	3.218	https://cdn.freesound.org/previews/451/451720_6253486-hq.mp3
passage_train_ride_s	short	5	https://cdn.freesound.org/previews/333/333943_2364707-hq.mp3
passage_subway_s	short	5	https://cdn.freesound.org/previews/260/260189_1480854-hq.mp3
passage_tram_s	short	3.082	https://cdn.freesound.org/previews/417/417657_8224400-hq.mp3
passage_bus_s	short	5	https://cdn.freesound.org/previews/559/559375_5985747-hq.mp3
passage_highway_s	short	5	https://cdn.freesound.org/previews/263/263634_4536481-hq.mp3
passage_motorcycle_s	short	3.527	https://cdn.freesound.org/previews/545/545758_8031303-hq.mp3
passage_bicycle_s	short	3.49	https://cdn.freesound.org/previews/405/405572_5197114-hq.mp3
passage_airplane_cabin_s	short	5	https://cdn.freesound.org/previews/433/433002_138-hq.mp3
passage_airport_runway_s	short	4.913	https://cdn.freesound.org/previews/251/251977_3530854-hq.mp3
passage_helicopter_s	short	5	https://cdn.freesound.org/previews/345/345084_1256155-hq.mp3
passage_ferry_s	short	5	https://cdn.freesound.org/previews/322/322248_5493360-hq.mp3
passage_sailboat_s	short	5	https://cdn.freesound.org/previews/252/252670_1934171-hq.mp3
passage_speedboat_s	short	2.968	https://cdn.freesound.org/previews/184/184074_3413935-hq.mp3
passage_tractor_s	short	1.694	https://cdn.freesound.org/previews/488/488007_4763661-hq.mp3
passage_truck_s	short	5	https://cdn.freesound.org/previews/547/547926_189568-hq.mp3
passage_excavator_s	short	5	https://cdn.freesound.org/previews/97/97850_866470-hq.mp3
passage_elevator_s	short	5	https://cdn.freesound.org/previews/475/475228_3248005-hq.mp3
passage_escalator_s	short	5	https://cdn.freesound.org/previews/98/98687_924574-hq.mp3
passage_rollercoaster_s	short	5	https://cdn.freesound.org/previews/607/607125_2658741-hq.mp3
passage_skiing_s	short	1.96	https://cdn.freesound.org/previews/394/394003_7414526-hq.mp3
passage_skateboard_s	short	5	https://cdn.freesound.org/previews/630/630024_13760364-hq.mp3
passage_carriage_s	short	5	https://cdn.freesound.org/previews/547/547969_969948-hq.mp3
passage_cablecar_s	short	5	https://cdn.freesound.org/previews/393/393580_2808561-hq.mp3
passage_train_station_l	long	10	https://cdn.freesound.org/previews/615/615660_2737063-hq.mp3
passage_train_ride_l	long	10	https://cdn.freesound.org/previews/333/333944_2364707-hq.mp3
passage_subway_l	long	10	https://cdn.freesound.org/previews/170/170357_3047855-hq.mp3
passage_tram_l	long	10	https://cdn.freesound.org/previews/624/624313_12244617-hq.mp3
passage_bus_l	long	10	https://cdn.freesound.org/previews/684/684721_1661766-hq.mp3
passage_highway_l	long	10	https://cdn.freesound.org/previews/135/135160_2461495-hq.mp3
passage_motorcycle_l	long	0.237	https://cdn.freesound.org/previews/545/545759_8031303-hq.mp3
passage_bicycle_l	long	6.92	https://cdn.freesound.org/previews/378/378900_7026513-hq.mp3
passage_airplane_cabin_l	long	10	https://cdn.freesound.org/previews/487/487604_8342372-hq.mp3
passage_airport_runway_l	long	10	https://cdn.freesound.org/previews/447/447826_1224849-hq.mp3
passage_helicopter_l	long	10	https://cdn.freesound.org/previews/205/205898_3545231-hq.mp3
passage_ferry_l	long	10	https://cdn.freesound.org/previews/250/250508_489021-hq.mp3
passage_sailboat_l	long	10	https://cdn.freesound.org/previews/554/554439_1680324-hq.mp3
passage_speedboat_l	long	10	https://cdn.freesound.org/previews/177/177702_612689-hq.mp3
passage_tractor_l	long	8.886	https://cdn.freesound.org/previews/74/74978_1151436-hq.mp3
passage_truck_l	long	10	https://cdn.freesound.org/previews/503/503181_3694371-hq.mp3
passage_excavator_l	long	10	https://cdn.freesound.org/previews/187/187563_71257-hq.mp3
passage_elevator_l	long	5.484	https://cdn.freesound.org/previews/475/475230_3248005-hq.mp3
passage_escalator_l	long	10	https://cdn.freesound.org/previews/363/363714_6598647-hq.mp3
passage_rollercoaster_l	long	10	https://cdn.freesound.org/previews/187/187253_266678-hq.mp3
passage_skiing_l	long	10	https://cdn.freesound.org/previews/676/676926_4835746-hq.mp3
passage_skateboard_l	long	10	https://cdn.freesound.org/previews/640/640451_12458758-hq.mp3
passage_carriage_l	long	1.419	https://cdn.freesound.org/previews/124/124132_2259746-hq.mp3
passage_cablecar_l	long	10	https://cdn.freesound.org/previews/556/556269_7522579-hq.mp3
