id	role	trim_start	source
passage_train_station_s	short	3.218	https://cdn.freesound.org/previews/451/451720_6253486-hq.mp3
passage_subway_s	short	5	https://cdn.freesound.org/previews/260/260189_1480854-hq.mp3
passage_bus_s	short	5	https://cdn.freesound.org/previews/559/559375_5985747-hq.mp3
passage_motorcycle_s	short	3.527	https://cdn.freesound.org/previews/545/545758_8031303-hq.mp3
passage_airplane_cabin_s	short	5	https://cdn.freesound.org/previews/433/433002_138-hq.mp3
passage_helicopter_s	short	5	https://cdn.freesound.org/previews/345/345084_1256155-hq.mp3
passage_sailboat_s	short	5	https://cdn.freesound.org/previews/252/252670_1934171-hq.mp3
passage_tractor_s	short	1.694	https://cdn.freesound.org/previews/488/488007_4763661-hq.mp3
passage_excavator_s	short	5	https://cdn.freesound.org/previews/97/97850_866470-hq.mp3
passage_escalator_s	short	5	https://cdn.freesound.org/previews/98/98687_924574-hq.mp3
passage_skiing_s	short	1.96	https://cdn.freesound.org/previews/394/394003_7414526-hq.mp3
passage_carriage_s	short	5	https://cdn.freesound.org/previews/547/547969_969948-hq.mp3
sonora_acoustic_guitar_s	short	3.1	https://cdn.freesound.org/previews/211/211963_3931578-hq.mp3
sonora_violin_s	short	5	https://cdn.freesound.org/previews/572/572394_12923279-hq.mp3
sonora_flute_s	short	4	https://cdn.freesound.org/previews/324/324085_3874114-hq.mp3
sonora_saxophone_s	short	5	https://cdn.freesound.org/previews/682/682310_10938187-hq.mp3
sonora_trombone_s	short	5	https://cdn.freesound.org/previews/491/491009_10350281-hq.mp3
sonora_harmonica_s	short	5	https://cdn.freesound.org/previews/224/224002_82274-hq.mp3
sonora_ukulele_s	short	1.07	https://cdn.freesound.org/previews/383/383023_6336990-hq.mp3
sonora_kalimba_s	short	1.807	https://cdn.freesound.org/previews/728/728677_2140699-hq.mp3
sonora_taiko_s	short	2.119	https://cdn.freesound.org/previews/499/499537_10350281-hq.mp3
sonora_gamelan_s	short	0.956	https://cdn.freesound.org/previews/0/401_177-hq.mp3
sonora_xylophone_s	short	0.654	https://cdn.freesound.org/previews/501/501300_10865671-hq.mp3
sonora_vocal_notes_s	short	5	https://cdn.freesound.org/previews/679/679478_8466114-hq.mp3
passage_train_station_l	long	10	https://cdn.freesound.org/previews/615/615660_2737063-hq.mp3
passage_subway_l	long	10	https://cdn.freesound.org/previews/170/170357_3047855-hq.mp3
passage_bus_l	long	10	https://cdn.freesound.org/previews/684/684721_1661766-hq.mp3
passage_motorcycle_l	long	0.237	https://cdn.freesound.org/previews/545/545759_8031303-hq.mp3
passage_airplane_cabin_l	long	10	https://cdn.freesound.org/previews/487/487604_8342372-hq.mp3
passage_helicopter_l	long	10	https://cdn.freesound.org/previews/205/205898_3545231-hq.mp3
passage_sailboat_l	long	10	https://cdn.freesound.org/previews/554/554439_1680324-hq.mp3
passage_tractor_l	long	8.886	https://cdn.freesound.org/previews/74/74978_1151436-hq.mp3
passage_excavator_l	long	10	https://cdn.freesound.org/previews/187/187563_71257-hq.mp3
passage_escalator_l	long	10	https://cdn.freesound.org/previews/363/363714_6598647-hq.mp3
passage_skiing_l	long	10	https://cdn.freesound.org/previews/676/676926_4835746-hq.mp3
passage_carriage_l	long	1.419	https://cdn.freesound.org/previews/124/124132_2259746-hq.mp3
sonora_acoustic_guitar_l	long	10	https://cdn.freesound.org/previews/404/404504_6031697-hq.mp3
sonora_violin_l	long	10	https://cdn.freesound.org/previews/476/476050_10144720-hq.mp3
sonora_flute_l	long	10	https://cdn.freesound.org/previews/159/159131_2018306-hq.mp3
sonora_saxophone_l	long	2.276	https://cdn.freesound.org/previews/682/682309_10938187-hq.mp3
sonora_trombone_l	long	10	https://cdn.freesound.org/previews/729/729169_14598169-hq.mp3
sonora_harmonica_l	long	7.936	https://cdn.freesound.org/previews/565/565759_1262662-hq.mp3
sonora_ukulele_l	long	0.871	https://cdn.freesound.org/previews/389/389758_5111994-hq.mp3
sonora_kalimba_l	long	2.187	https://cdn.freesound.org/previews/728/728666_2140699-hq.mp3
sonora_taiko_l	long	10	https://cdn.freesound.org/previews/621/621290_13749321-hq.mp3
sonora_gamelan_l	long	10	https://cdn.freesound.org/previews/167/167246_177850-hq.mp3
sonora_xylophone_l	long	10	https://cdn.freesound.org/previews/161/161509_1015240-hq.mp3
sonora_vocal_notes_l	long	1	https://cdn.freesound.org/previews/679/679483_8466114-hq.mp3
