id	role	trim_start	source
signals_shortwave_s	short	1.716	https://cdn.freesound.org/previews/257/257879_3262745-hq.mp3
signals_morse_s	short	2.869	https://cdn.freesound.org/previews/565/565298_5487341-hq.mp3
signals_modem_s	short	5	https://cdn.freesound.org/previews/566/566588_97550-hq.mp3
signals_computer_fan_s	short	4.956	https://cdn.freesound.org/previews/353/353126_1196020-hq.mp3
signals_server_room_s	short	5	https://cdn.freesound.org/previews/329/329907_2472895-hq.mp3
signals_electrical_hum_s	short	4.076	https://cdn.freesound.org/previews/535/535761_6911631-hq.mp3
signals_transformer_s	short	5	https://cdn.freesound.org/previews/453/453444_612689-hq.mp3
signals_fluorescent_s	short	2.378	https://cdn.freesound.org/previews/383/383657_7146007-hq.mp3
signals_alarm_siren_s	short	5	https://cdn.freesound.org/previews/462/462672_1661766-hq.mp3
signals_fire_alarm_s	short	4.675	https://cdn.freesound.org/previews/438/438239_2524442-hq.mp3
signals_telephone_s	short	1.967	https://cdn.freesound.org/previews/166/166013_141777-hq.mp3
signals_radio_static_s	short	0.282	https://cdn.freesound.org/previews/454/454259_612689-hq.mp3
signals_synth_drone_s	short	5	https://cdn.freesound.org/previews/503/503220_10350281-hq.mp3
signals_analog_synth_s	short	1.143	https://cdn.freesound.org/previews/343/343365_1391542-hq.mp3
signals_arcade_s	short	5	https://cdn.freesound.org/previews/435/435514_1772601-hq.mp3
signals_chiptune_s	short	5	https://cdn.freesound.org/previews/723/723136_14844137-hq.mp3
signals_robot_s	short	1.989	https://cdn.freesound.org/previews/160/160719_2386333-hq.mp3
signals_printer_s	short	5	https://cdn.freesound.org/previews/457/457562_2841496-hq.mp3
signals_hard_drive_s	short	4.505	https://cdn.freesound.org/previews/262/262870_4337854-hq.mp3
signals_typing_s	short	2	https://cdn.freesound.org/previews/565/565204_6652872-hq.mp3
signals_sonar_s	short	5	https://cdn.freesound.org/previews/528/528943_3302313-hq.mp3
signals_laboratory_s	short	5	https://cdn.freesound.org/previews/548/548213_8059756-hq.mp3
signals_vending_s	short	3.418	https://cdn.freesound.org/previews/191/191457_3052001-hq.mp3
signals_medical_monitor_s	short	1.966	https://cdn.freesound.org/previews/536/536706_11946545-hq.mp3
signals_shortwave_l	long	10	https://cdn.freesound.org/previews/545/545962_10403690-hq.mp3
signals_morse_l	long	10	https://cdn.freesound.org/previews/204/204968_3560882-hq.mp3
signals_modem_l	long	6.116	https://cdn.freesound.org/previews/454/454056_612689-hq.mp3
signals_computer_fan_l	long	1.808	https://cdn.freesound.org/previews/712/712876_15349255-hq.mp3
signals_server_room_l	long	10	https://cdn.freesound.org/previews/646/646682_13085623-hq.mp3
signals_electrical_hum_l	long	4.612	https://cdn.freesound.org/previews/666/666160_14490715-hq.mp3
signals_transformer_l	long	10	https://cdn.freesound.org/previews/349/349687_2205380-hq.mp3
signals_fluorescent_l	long	10	https://cdn.freesound.org/previews/454/454098_612689-hq.mp3
signals_alarm_siren_l	long	10	https://cdn.freesound.org/previews/450/450118_612689-hq.mp3
signals_fire_alarm_l	long	10	https://cdn.freesound.org/previews/577/577314_97550-hq.mp3
signals_telephone_l	long	10	https://cdn.freesound.org/previews/532/532300_2223965-hq.mp3
signals_radio_static_l	long	10	https://cdn.freesound.org/previews/552/552482_2481400-hq.mp3
signals_synth_drone_l	long	3.021	https://cdn.freesound.org/previews/503/503218_10350281-hq.mp3
signals_analog_synth_l	long	10	https://cdn.freesound.org/previews/276/276930_3717034-hq.mp3
signals_arcade_l	long	10	https://cdn.freesound.org/previews/343/343150_1928753-hq.mp3
signals_chiptune_l	long	10	https://cdn.freesound.org/previews/466/466998_285997-hq.mp3
signals_robot_l	long	10	https://cdn.freesound.org/previews/442/442243_1613-hq.mp3
signals_printer_l	long	10	https://cdn.freesound.org/previews/402/402463_706234-hq.mp3
signals_hard_drive_l	long	9.982	https://cdn.freesound.org/previews/262/262871_4337854-hq.mp3
signals_typing_l	long	0.249	https://cdn.freesound.org/previews/361/361639_5450487-hq.mp3
signals_sonar_l	long	10	https://cdn.freesound.org/previews/383/383405_30374-hq.mp3
signals_laboratory_l	long	9.972	https://cdn.freesound.org/previews/383/383760_7146007-hq.mp3
signals_vending_l	long	9.191	https://cdn.freesound.org/previews/402/402603_1766049-hq.mp3
signals_medical_monitor_l	long	4.743	https://cdn.freesound.org/previews/668/668979_14100561-hq.mp3
