id	role	trim_start	source
sonora_piano_s	short	5	https://cdn.freesound.org/previews/342/342647_1038806-hq.mp3
sonora_acoustic_guitar_s	short	3.1	https://cdn.freesound.org/previews/211/211963_3931578-hq.mp3
sonora_electric_guitar_s	short	5	https://cdn.freesound.org/previews/346/346820_5005496-hq.mp3
sonora_violin_s	short	5	https://cdn.freesound.org/previews/572/572394_12923279-hq.mp3
sonora_cello_s	short	5	https://cdn.freesound.org/previews/159/159116_2018306-hq.mp3
sonora_flute_s	short	4	https://cdn.freesound.org/previews/324/324085_3874114-hq.mp3
sonora_clarinet_s	short	1.468	https://cdn.freesound.org/previews/44/44363_62250-hq.mp3
sonora_saxophone_s	short	5	https://cdn.freesound.org/previews/682/682310_10938187-hq.mp3
sonora_trumpet_s	short	5	https://cdn.freesound.org/previews/450/450474_612689-hq.mp3
sonora_trombone_s	short	5	https://cdn.freesound.org/previews/491/491009_10350281-hq.mp3
sonora_accordion_s	short	5	https://cdn.freesound.org/previews/149/149091_2232619-hq.mp3
sonora_harmonica_s	short	5	https://cdn.freesound.org/previews/224/224002_82274-hq.mp3
sonora_harp_s	short	1.715	https://cdn.freesound.org/previews/415/415386_2112203-hq.mp3
sonora_ukulele_s	short	1.07	https://cdn.freesound.org/previews/383/383023_6336990-hq.mp3
sonora_sitar_s	short	5	https://cdn.freesound.org/previews/273/273666_5178374-hq.mp3
sonora_kalimba_s	short	1.807	https://cdn.freesound.org/previews/728/728677_2140699-hq.mp3
sonora_tabla_s	short	5	https://cdn.freesound.org/previews/510/510839_10486071-hq.mp3
sonora_taiko_s	short	2.119	https://cdn.freesound.org/previews/499/499537_10350281-hq.mp3
sonora_handpan_s	short	5	https://cdn.freesound.org/previews/615/615570_1063450-hq.mp3
sonora_gamelan_s	short	0.956	https://cdn.freesound.org/previews/0/401_177-hq.mp3
sonora_marimba_s	short	5	https://cdn.freesound.org/previews/530/530434_9818404-hq.mp3
sonora_xylophone_s	short	0.654	https://cdn.freesound.org/previews/501/501300_10865671-hq.mp3
sonora_pipe_organ_s	short	5	https://cdn.freesound.org/previews/574/574225_12932169-hq.mp3
sonora_vocal_notes_s	short	5	https://cdn.freesound.org/previews/679/679478_8466114-hq.mp3
sonora_piano_l	long	10	https://cdn.freesound.org/previews/362/362106_3783190-hq.mp3
sonora_acoustic_guitar_l	long	10	https://cdn.freesound.org/previews/404/404504_6031697-hq.mp3
sonora_electric_guitar_l	long	10	https://cdn.freesound.org/previews/657/657184_9195682-hq.mp3
sonora_violin_l	long	10	https://cdn.freesound.org/previews/476/476050_10144720-hq.mp3
sonora_cello_l	long	10	https://cdn.freesound.org/previews/645/645568_3200333-hq.mp3
sonora_flute_l	long	10	https://cdn.freesound.org/previews/159/159131_2018306-hq.mp3
sonora_clarinet_l	long	10	https://cdn.freesound.org/previews/387/387611_7027760-hq.mp3
sonora_saxophone_l	long	2.276	https://cdn.freesound.org/previews/682/682309_10938187-hq.mp3
sonora_trumpet_l	long	10	https://cdn.freesound.org/previews/360/360542_1306869-hq.mp3
sonora_trombone_l	long	10	https://cdn.freesound.org/previews/729/729169_14598169-hq.mp3
sonora_accordion_l	long	10	https://cdn.freesound.org/previews/689/689547_13504080-hq.mp3
sonora_harmonica_l	long	7.936	https://cdn.freesound.org/previews/565/565759_1262662-hq.mp3
sonora_harp_l	long	1.298	https://cdn.freesound.org/previews/415/415442_2112203-hq.mp3
sonora_ukulele_l	long	0.871	https://cdn.freesound.org/previews/389/389758_5111994-hq.mp3
sonora_sitar_l	long	6.841	https://cdn.freesound.org/previews/339/339970_5302138-hq.mp3
sonora_kalimba_l	long	2.187	https://cdn.freesound.org/previews/728/728666_2140699-hq.mp3
sonora_tabla_l	long	1.294	https://cdn.freesound.org/previews/633/633150_10486071-hq.mp3
sonora_taiko_l	long	10	https://cdn.freesound.org/previews/621/621290_13749321-hq.mp3
sonora_handpan_l	long	10	https://cdn.freesound.org/previews/548/548026_2282212-hq.mp3
sonora_gamelan_l	long	10	https://cdn.freesound.org/previews/167/167246_177850-hq.mp3
sonora_marimba_l	long	7.932	https://cdn.freesound.org/previews/608/608802_2282212-hq.mp3
sonora_xylophone_l	long	10	https://cdn.freesound.org/previews/161/161509_1015240-hq.mp3
sonora_pipe_organ_l	long	8.147	https://cdn.freesound.org/previews/544/544386_2019171-hq.mp3
sonora_vocal_notes_l	long	1	https://cdn.freesound.org/previews/679/679483_8466114-hq.mp3
