id	role	trim_start	source
commons_restaurant_s	short	5	https://cdn.freesound.org/previews/372/372610_123355-hq.mp3
commons_cafeteria_s	short	5	https://cdn.freesound.org/previews/450/450402_612689-hq.mp3
commons_stadium_s	short	4.625	https://cdn.freesound.org/previews/649/649156_7149873-hq.mp3
commons_parade_s	short	5	https://cdn.freesound.org/previews/637/637454_612689-hq.mp3
commons_carnival_s	short	5	https://cdn.freesound.org/previews/126/126661_296888-hq.mp3
commons_choir_rehearsal_s	short	5	https://cdn.freesound.org/previews/256/256277_989468-hq.mp3
commons_orchestra_tuning_s	short	5	https://cdn.freesound.org/previews/518/518549_8140496-hq.mp3
commons_museum_s	short	5	https://cdn.freesound.org/previews/580/580539_1810340-hq.mp3
commons_office_s	short	5	https://cdn.freesound.org/previews/438/438135_2524442-hq.mp3
commons_shopping_mall_s	short	5	https://cdn.freesound.org/previews/333/333940_2364707-hq.mp3
commons_auction_s	short	5	https://cdn.freesound.org/previews/133/133820_2337290-hq.mp3
commons_wedding_s	short	2.34	https://cdn.freesound.org/previews/414/414292_7602881-hq.mp3
tempest_thunderstorm_s	short	5	https://cdn.freesound.org/previews/255/255152_1661348-hq.mp3
tempest_gale_s	short	5	https://cdn.freesound.org/previews/518/518091_4838691-hq.mp3
tempest_hurricane_s	short	5	https://cdn.freesound.org/previews/616/616804_97550-hq.mp3
tempest_crashing_waves_s	short	5	https://cdn.freesound.org/previews/592/592425_8383609-hq.mp3
tempest_rockfall_s	short	4.483	https://cdn.freesound.org/previews/500/500638_339183-hq.mp3
tempest_volcano_s	short	3.848	https://cdn.freesound.org/previews/675/675739_2524442-hq.mp3
tempest_bonfire_s	short	1.304	https://cdn.freesound.org/previews/234/234542_4238641-hq.mp3
tempest_fireworks_s	short	5	https://cdn.freesound.org/previews/367/367485_2254206-hq.mp3
tempest_demolition_blast_s	short	5	https://cdn.freesound.org/previews/438/438528_2524442-hq.mp3
tempest_tree_falling_s	short	1.973	https://cdn.freesound.org/previews/550/550918_6667441-hq.mp3
tempest_flood_s	short	1.371	https://cdn.freesound.org/previews/530/530168_4574070-hq.mp3
tempest_geyser_s	short	5	https://cdn.freesound.org/previews/441/441152_7522579-hq.mp3
commons_restaurant_l	long	10	https://cdn.freesound.org/previews/265/265870_2150067-hq.mp3
commons_cafeteria_l	long	3.013	https://cdn.freesound.org/previews/175/175831_2507638-hq.mp3
commons_stadium_l	long	10	https://cdn.freesound.org/previews/528/528799_11431915-hq.mp3
commons_parade_l	long	10	https://cdn.freesound.org/previews/451/451354_612689-hq.mp3
commons_carnival_l	long	4.782	https://cdn.freesound.org/previews/675/675012_2524442-hq.mp3
commons_choir_rehearsal_l	long	8.382	https://cdn.freesound.org/previews/218/218379_4070508-hq.mp3
commons_orchestra_tuning_l	long	6.839	https://cdn.freesound.org/previews/434/434592_5037446-hq.mp3
commons_museum_l	long	10	https://cdn.freesound.org/previews/580/580538_1810340-hq.mp3
commons_office_l	long	10	https://cdn.freesound.org/previews/460/460082_1505134-hq.mp3
commons_shopping_mall_l	long	10	https://cdn.freesound.org/previews/429/429068_4437257-hq.mp3
commons_auction_l	long	10	https://cdn.freesound.org/previews/133/133821_2337290-hq.mp3
commons_wedding_l	long	10	https://cdn.freesound.org/previews/362/362353_2622803-hq.mp3
tempest_thunderstorm_l	long	0.654	https://cdn.freesound.org/previews/276/276926_4084222-hq.mp3
tempest_gale_l	long	9.69	https://cdn.freesound.org/previews/181/181935_3296721-hq.mp3
tempest_hurricane_l	long	10	https://cdn.freesound.org/previews/438/438873_2524442-hq.mp3
tempest_crashing_waves_l	long	10	https://cdn.freesound.org/previews/376/376800_6128004-hq.mp3
tempest_rockfall_l	long	10	https://cdn.freesound.org/previews/610/610088_10475987-hq.mp3
tempest_volcano_l	long	10	https://cdn.freesound.org/previews/415/415608_2409224-hq.mp3
tempest_bonfire_l	long	1.936	https://cdn.freesound.org/previews/364/364992_4351264-hq.mp3
tempest_fireworks_l	long	10	https://cdn.freesound.org/previews/505/505264_10791958-hq.mp3
tempest_demolition_blast_l	long	10	https://cdn.freesound.org/previews/270/270300_1934171-hq.mp3
tempest_tree_falling_l	long	10	https://cdn.freesound.org/previews/438/438343_2524442-hq.mp3
tempest_flood_l	long	10	https://cdn.freesound.org/previews/721/721098_2061858-hq.mp3
tempest_geyser_l	long	10	https://cdn.freesound.org/previews/415/415609_2409224-hq.mp3
