id	role	trim_start	source
tempest_thunderstorm_s	short	5	https://cdn.freesound.org/previews/255/255152_1661348-hq.mp3
tempest_hail_s	short	5	https://cdn.freesound.org/previews/431/431787_817038-hq.mp3
tempest_gale_s	short	5	https://cdn.freesound.org/previews/518/518091_4838691-hq.mp3
tempest_blizzard_s	short	5	https://cdn.freesound.org/previews/331/331527_2417207-hq.mp3
tempest_hurricane_s	short	5	https://cdn.freesound.org/previews/616/616804_97550-hq.mp3
tempest_ocean_storm_s	short	5	https://cdn.freesound.org/previews/574/574548_97550-hq.mp3
tempest_crashing_waves_s	short	5	https://cdn.freesound.org/previews/592/592425_8383609-hq.mp3
tempest_avalanche_s	short	0.349	https://cdn.freesound.org/previews/162/162669_623488-hq.mp3
tempest_rockfall_s	short	4.483	https://cdn.freesound.org/previews/500/500638_339183-hq.mp3
tempest_earthquake_s	short	3.453	https://cdn.freesound.org/previews/524/524307_6714882-hq.mp3
tempest_volcano_s	short	3.848	https://cdn.freesound.org/previews/675/675739_2524442-hq.mp3
tempest_burning_brush_s	short	5	https://cdn.freesound.org/previews/755/755367_1185437-hq.mp3
tempest_bonfire_s	short	1.304	https://cdn.freesound.org/previews/234/234542_4238641-hq.mp3
tempest_explosions_s	short	5	https://cdn.freesound.org/previews/320/320788_1134415-hq.mp3
tempest_fireworks_s	short	5	https://cdn.freesound.org/previews/367/367485_2254206-hq.mp3
tempest_cannon_s	short	5	https://cdn.freesound.org/previews/415/415293_8184822-hq.mp3
tempest_demolition_blast_s	short	5	https://cdn.freesound.org/previews/438/438528_2524442-hq.mp3
tempest_glass_breaking_s	short	0.732	https://cdn.freesound.org/previews/115/115922_1282583-hq.mp3
tempest_tree_falling_s	short	1.973	https://cdn.freesound.org/previews/550/550918_6667441-hq.mp3
tempest_ice_cracking_s	short	5	https://cdn.freesound.org/previews/452/452229_612689-hq.mp3
tempest_flood_s	short	1.371	https://cdn.freesound.org/previews/530/530168_4574070-hq.mp3
tempest_tornado_s	short	5	https://cdn.freesound.org/previews/646/646874_1504845-hq.mp3
tempest_geyser_s	short	5	https://cdn.freesound.org/previews/441/441152_7522579-hq.mp3
tempest_storm_siren_s	short	5	https://cdn.freesound.org/previews/76/76944_995351-hq.mp3
tempest_thunderstorm_l	long	0.654	https://cdn.freesound.org/previews/276/276926_4084222-hq.mp3
tempest_hail_l	long	10	https://cdn.freesound.org/previews/393/393864_1745571-hq.mp3
tempest_gale_l	long	9.69	https://cdn.freesound.org/previews/181/181935_3296721-hq.mp3
tempest_blizzard_l	long	5.084	https://cdn.freesound.org/previews/675/675701_2524442-hq.mp3
tempest_hurricane_l	long	10	https://cdn.freesound.org/previews/438/438873_2524442-hq.mp3
tempest_ocean_storm_l	long	10	https://cdn.freesound.org/previews/426/426076_3380363-hq.mp3
tempest_crashing_waves_l	long	10	https://cdn.freesound.org/previews/376/376800_6128004-hq.mp3
tempest_avalanche_l	long	6.631	https://cdn.freesound.org/previews/438/438683_2524442-hq.mp3
tempest_rockfall_l	long	10	https://cdn.freesound.org/previews/610/610088_10475987-hq.mp3
tempest_earthquake_l	long	10	https://cdn.freesound.org/previews/353/353262_6098565-hq.mp3
tempest_volcano_l	long	10	https://cdn.freesound.org/previews/415/415608_2409224-hq.mp3
tempest_burning_brush_l	long	10	https://cdn.freesound.org/previews/535/535096_181196-hq.mp3
tempest_bonfire_l	long	1.936	https://cdn.freesound.org/previews/364/364992_4351264-hq.mp3
tempest_explosions_l	long	4.548	https://cdn.freesound.org/previews/262/262436_989468-hq.mp3
tempest_fireworks_l	long	10	https://cdn.freesound.org/previews/505/505264_10791958-hq.mp3
tempest_cannon_l	long	10	https://cdn.freesound.org/previews/553/553240_11107968-hq.mp3
tempest_demolition_blast_l	long	10	https://cdn.freesound.org/previews/270/270300_1934171-hq.mp3
tempest_glass_breaking_l	long	10	https://cdn.freesound.org/previews/482/482033_8415786-hq.mp3
tempest_tree_falling_l	long	10	https://cdn.freesound.org/previews/438/438343_2524442-hq.mp3
tempest_ice_cracking_l	long	10	https://cdn.freesound.org/previews/452/452242_612689-hq.mp3
tempest_flood_l	long	10	https://cdn.freesound.org/previews/721/721098_2061858-hq.mp3
tempest_tornado_l	long	5.19	https://cdn.freesound.org/previews/557/557188_1535323-hq.mp3
tempest_geyser_l	long	10	https://cdn.freesound.org/previews/415/415609_2409224-hq.mp3
tempest_storm_siren_l	long	8.667	https://cdn.freesound.org/previews/72/72831_995351-hq.mp3
