id	role	trim_start	source
drift_gentle_ocean_s	short	5	https://cdn.freesound.org/previews/518/518637_6089496-hq.mp3
drift_quiet_river_s	short	5	https://cdn.freesound.org/previews/479/479321_9250976-hq.mp3
drift_waterfall_s	short	5	https://cdn.freesound.org/previews/511/511078_9250976-hq.mp3
drift_rain_roof_s	short	5	https://cdn.freesound.org/previews/650/650427_13558226-hq.mp3
drift_rustling_leaves_s	short	5	https://cdn.freesound.org/previews/523/523389_2010973-hq.mp3
drift_mountain_wind_s	short	5	https://cdn.freesound.org/previews/486/486891_9872712-hq.mp3
drift_lake_shore_s	short	5	https://cdn.freesound.org/previews/705/705034_8356325-hq.mp3
drift_marsh_s	short	5	https://cdn.freesound.org/previews/633/633817_7846219-hq.mp3
drift_underwater_s	short	5	https://cdn.freesound.org/previews/482/482116_9250976-hq.mp3
drift_bamboo_s	short	5	https://cdn.freesound.org/previews/546/546986_6299643-hq.mp3
drift_snow_forest_s	short	5	https://cdn.freesound.org/previews/569/569088_3625175-hq.mp3
drift_countryside_night_s	short	5	https://cdn.freesound.org/previews/118/118419_540291-hq.mp3
foundry_metal_shop_s	short	5	https://cdn.freesound.org/previews/169/169176_1591616-hq.mp3
foundry_welding_s	short	5	https://cdn.freesound.org/previews/337/337449_3474310-hq.mp3
foundry_circular_saw_s	short	5	https://cdn.freesound.org/previews/383/383442_7146007-hq.mp3
foundry_woodshop_s	short	5	https://cdn.freesound.org/previews/380/380204_6692504-hq.mp3
foundry_sewing_s	short	4.874	https://cdn.freesound.org/previews/133/133048_920451-hq.mp3
foundry_dishwasher_s	short	5	https://cdn.freesound.org/previews/124/124434_296888-hq.mp3
foundry_pneumatic_drill_s	short	4.375	https://cdn.freesound.org/previews/337/337096_3474310-hq.mp3
foundry_demolition_s	short	5	https://cdn.freesound.org/previews/365/365201_179538-hq.mp3
foundry_power_drill_s	short	5	https://cdn.freesound.org/previews/516/516604_3874107-hq.mp3
foundry_generator_s	short	1.531	https://cdn.freesound.org/previews/382/382687_5051822-hq.mp3
foundry_pump_room_s	short	5	https://cdn.freesound.org/previews/453/453424_612689-hq.mp3
foundry_quarry_s	short	5	https://cdn.freesound.org/previews/476/476317_2337290-hq.mp3
drift_gentle_ocean_l	long	10	https://cdn.freesound.org/previews/417/417797_3285887-hq.mp3
drift_quiet_river_l	long	8.688	https://cdn.freesound.org/previews/422/422663_2836758-hq.mp3
drift_waterfall_l	long	10	https://cdn.freesound.org/previews/81/81272_94000-hq.mp3
drift_rain_roof_l	long	10	https://cdn.freesound.org/previews/650/650428_13558226-hq.mp3
drift_rustling_leaves_l	long	2.036	https://cdn.freesound.org/previews/378/378725_6692504-hq.mp3
drift_mountain_wind_l	long	10	https://cdn.freesound.org/previews/486/486894_9872712-hq.mp3
drift_lake_shore_l	long	10	https://cdn.freesound.org/previews/399/399741_450294-hq.mp3
drift_marsh_l	long	10	https://cdn.freesound.org/previews/547/547690_11069322-hq.mp3
drift_underwater_l	long	4.667	https://cdn.freesound.org/previews/567/567347_12735833-hq.mp3
drift_bamboo_l	long	10	https://cdn.freesound.org/previews/339/339331_5328817-hq.mp3
drift_snow_forest_l	long	10	https://cdn.freesound.org/previews/609/609035_2282212-hq.mp3
drift_countryside_night_l	long	10	https://cdn.freesound.org/previews/581/581430_12244617-hq.mp3
foundry_metal_shop_l	long	10	https://cdn.freesound.org/previews/475/475217_7872308-hq.mp3
foundry_welding_l	long	10	https://cdn.freesound.org/previews/337/337444_3474310-hq.mp3
foundry_circular_saw_l	long	0.403	https://cdn.freesound.org/previews/335/335437_5848334-hq.mp3
foundry_woodshop_l	long	10	https://cdn.freesound.org/previews/586/586168_6911631-hq.mp3
foundry_sewing_l	long	3.665	https://cdn.freesound.org/previews/187/187730_1500538-hq.mp3
foundry_dishwasher_l	long	10	https://cdn.freesound.org/previews/192/192353_3526460-hq.mp3
foundry_pneumatic_drill_l	long	10	https://cdn.freesound.org/previews/707/707974_2190378-hq.mp3
foundry_demolition_l	long	10	https://cdn.freesound.org/previews/350/350882_2287090-hq.mp3
foundry_power_drill_l	long	3.309	https://cdn.freesound.org/previews/516/516602_3874107-hq.mp3
foundry_generator_l	long	0.205	https://cdn.freesound.org/previews/326/326254_5600514-hq.mp3
foundry_pump_room_l	long	10	https://cdn.freesound.org/previews/637/637521_612689-hq.mp3
foundry_quarry_l	long	10	https://cdn.freesound.org/previews/476/476318_2337290-hq.mp3
