id	role	trim_start	source
menagerie_songbirds_s	short	5	https://cdn.freesound.org/previews/336/336666_1575560-hq.mp3
menagerie_frogs_s	short	5	https://cdn.freesound.org/previews/692/692921_3195919-hq.mp3
menagerie_cicadas_s	short	4.229	https://cdn.freesound.org/previews/493/493058_2058051-hq.mp3
menagerie_sheep_s	short	5	https://cdn.freesound.org/previews/538/538439_11519060-hq.mp3
menagerie_horses_s	short	5	https://cdn.freesound.org/previews/121/121129_2140699-hq.mp3
menagerie_cats_s	short	5	https://cdn.freesound.org/previews/262/262955_128837-hq.mp3
menagerie_ducks_s	short	4.383	https://cdn.freesound.org/previews/689/689803_1121623-hq.mp3
menagerie_seagulls_s	short	5	https://cdn.freesound.org/previews/462/462462_2752236-hq.mp3
menagerie_monkeys_s	short	5	https://cdn.freesound.org/previews/490/490315_1441734-hq.mp3
menagerie_lions_s	short	1.969	https://cdn.freesound.org/previews/69/69571_706955-hq.mp3
menagerie_whales_s	short	5	https://cdn.freesound.org/previews/82/82325_1299633-hq.mp3
menagerie_pigs_s	short	5	https://cdn.freesound.org/previews/467/467570_8031303-hq.mp3
signals_morse_s	short	2.869	https://cdn.freesound.org/previews/565/565298_5487341-hq.mp3
signals_computer_fan_s	short	4.956	https://cdn.freesound.org/previews/353/353126_1196020-hq.mp3
signals_electrical_hum_s	short	4.076	https://cdn.freesound.org/previews/535/535761_6911631-hq.mp3
signals_fluorescent_s	short	2.378	https://cdn.freesound.org/previews/383/383657_7146007-hq.mp3
signals_fire_alarm_s	short	4.675	https://cdn.freesound.org/previews/438/438239_2524442-hq.mp3
signals_radio_static_s	short	0.282	https://cdn.freesound.org/previews/454/454259_612689-hq.mp3
signals_analog_synth_s	short	1.143	https://cdn.freesound.org/previews/343/343365_1391542-hq.mp3
signals_chiptune_s	short	5	https://cdn.freesound.org/previews/723/723136_14844137-hq.mp3
signals_printer_s	short	5	https://cdn.freesound.org/previews/457/457562_2841496-hq.mp3
signals_typing_s	short	2	https://cdn.freesound.org/previews/565/565204_6652872-hq.mp3
signals_laboratory_s	short	5	https://cdn.freesound.org/previews/548/548213_8059756-hq.mp3
signals_medical_monitor_s	short	1.966	https://cdn.freesound.org/previews/536/536706_11946545-hq.mp3
menagerie_songbirds_l	long	10	https://cdn.freesound.org/previews/336/336667_1575560-hq.mp3
menagerie_frogs_l	long	10	https://cdn.freesound.org/previews/684/684900_11751758-hq.mp3
menagerie_cicadas_l	long	10	https://cdn.freesound.org/previews/493/493059_2058051-hq.mp3
menagerie_sheep_l	long	10	https://cdn.freesound.org/previews/541/541212_542096-hq.mp3
menagerie_horses_l	long	7.921	https://cdn.freesound.org/previews/266/266366_1276125-hq.mp3
menagerie_cats_l	long	2.578	https://cdn.freesound.org/previews/130/130968_2330675-hq.mp3
menagerie_ducks_l	long	10	https://cdn.freesound.org/previews/616/616827_97550-hq.mp3
menagerie_seagulls_l	long	10	https://cdn.freesound.org/previews/457/457613_627541-hq.mp3
menagerie_monkeys_l	long	1.855	https://cdn.freesound.org/previews/256/256873_2134280-hq.mp3
menagerie_lions_l	long	2.06	https://cdn.freesound.org/previews/405/405211_1661766-hq.mp3
menagerie_whales_l	long	10	https://cdn.freesound.org/previews/504/504772_10868231-hq.mp3
menagerie_pigs_l	long	10	https://cdn.freesound.org/previews/233/233269_4056007-hq.mp3
signals_morse_l	long	10	https://cdn.freesound.org/previews/204/204968_3560882-hq.mp3
signals_computer_fan_l	long	1.808	https://cdn.freesound.org/previews/712/712876_15349255-hq.mp3
signals_electrical_hum_l	long	4.612	https://cdn.freesound.org/previews/666/666160_14490715-hq.mp3
signals_fluorescent_l	long	10	https://cdn.freesound.org/previews/454/454098_612689-hq.mp3
signals_fire_alarm_l	long	10	https://cdn.freesound.org/previews/577/577314_97550-hq.mp3
signals_radio_static_l	long	10	https://cdn.freesound.org/previews/552/552482_2481400-hq.mp3
signals_analog_synth_l	long	10	https://cdn.freesound.org/previews/276/276930_3717034-hq.mp3
signals_chiptune_l	long	10	https://cdn.freesound.org/previews/466/466998_285997-hq.mp3
signals_printer_l	long	10	https://cdn.freesound.org/previews/402/402463_706234-hq.mp3
signals_typing_l	long	0.249	https://cdn.freesound.org/previews/361/361639_5450487-hq.mp3
signals_laboratory_l	long	9.972	https://cdn.freesound.org/previews/383/383760_7146007-hq.mp3
signals_medical_monitor_l	long	4.743	https://cdn.freesound.org/previews/668/668979_14100561-hq.mp3
