index,pair,path,input_frames,start_frame,start_seconds,incoming_crossfade_frames,incoming_crossfade_seconds
1,01-25,wav/01_gamelan_court__25_thunder_mountain.wav,1727999,0,0.0,0,0.0
2,01-26,wav/01_gamelan_court__26_inside_car_wash.wav,1727999,1247999,25.999979166666666,480000,10.0
3,01-27,wav/01_gamelan_court__27_peru_new_year_fireworks.wav,1727999,2495998,51.99995833333333,480000,10.0
4,01-28,wav/01_gamelan_court__28_efteling_steam_train.wav,1727999,3743997,77.9999375,480000,10.0
5,01-29,wav/01_gamelan_court__29_helicopter_takeoff.wav,1727999,4991996,103.99991666666666,480000,10.0
6,01-30,wav/01_gamelan_court__30_scuba_bubbles.wav,1727999,6239995,129.99989583333334,480000,10.0
7,01-31,wav/01_gamelan_court__31_building_demolition.wav,1727999,7487994,155.999875,480000,10.0
8,01-32,wav/01_gamelan_court__32_finnish_blacksmith.wav,1727999,8735993,181.99985416666667,480000,10.0
9,01-33,wav/01_gamelan_court__33_cattle_auction.wav,1727999,9983992,207.99983333333333,480000,10.0
10,01-34,wav/01_gamelan_court__34_ferry_alarm.wav,1727999,11231991,233.9998125,480000,10.0
11,01-35,wav/01_gamelan_court__35_flooded_mine.wav,1727999,12479990,259.9997916666667,480000,10.0
12,01-36,wav/01_gamelan_court__36_cappuccino_process.wav,1727999,13727989,285.99977083333334,480000,10.0
13,01-37,wav/01_gamelan_court__37_tennis_match.wav,1727999,14975988,311.99975,480000,10.0
14,01-38,wav/01_gamelan_court__38_chainsaw_cycle.wav,1727999,16223987,337.99972916666667,480000,10.0
15,01-39,wav/01_gamelan_court__39_near_foghorn.wav,1727999,17471986,363.99970833333333,480000,10.0
16,01-40,wav/01_gamelan_court__40_barcelona_gate_pa.wav,1727999,18719985,389.9996875,480000,10.0
17,01-41,wav/01_gamelan_court__41_delhi_subway_cycle.wav,1727999,19967984,415.99966666666666,480000,10.0
18,01-42,wav/01_gamelan_court__42_hockey_goal.wav,1727999,21215983,441.9996458333333,480000,10.0
19,01-43,wav/01_gamelan_court__43_ambulance_siren.wav,1727999,22463982,467.999625,480000,10.0
20,01-44,wav/01_gamelan_court__44_woodshop_process.wav,1727999,23711981,493.99960416666664,480000,10.0
21,01-45,wav/01_gamelan_court__45_tractor_turning_hay.wav,1727999,24959980,519.9995833333334,480000,10.0
22,01-46,wav/01_gamelan_court__46_hail_thunder.wav,1727999,26207979,545.9995625,480000,10.0
23,01-47,wav/01_gamelan_court__47_marielle_protest.wav,1727999,27455978,571.9995416666667,480000,10.0
24,01-48,wav/01_gamelan_court__48_hair_salon_tools.wav,1727999,28703977,597.9995208333333,480000,10.0
25,02-25,wav/02_montreal_bagpipe_parade__25_thunder_mountain.wav,1727999,29951976,623.9995,480000,10.0
26,02-26,wav/02_montreal_bagpipe_parade__26_inside_car_wash.wav,1727999,31199975,649.9994791666667,480000,10.0
27,02-27,wav/02_montreal_bagpipe_parade__27_peru_new_year_fireworks.wav,1727999,32447974,675.9994583333333,480000,10.0
28,02-28,wav/02_montreal_bagpipe_parade__28_efteling_steam_train.wav,1727999,33695973,701.9994375,480000,10.0
29,02-29,wav/02_montreal_bagpipe_parade__29_helicopter_takeoff.wav,1727999,34943972,727.9994166666667,480000,10.0
30,02-30,wav/02_montreal_bagpipe_parade__30_scuba_bubbles.wav,1727999,36191971,753.9993958333333,480000,10.0
31,02-31,wav/02_montreal_bagpipe_parade__31_building_demolition.wav,1727999,37439970,779.999375,480000,10.0
32,02-32,wav/02_montreal_bagpipe_parade__32_finnish_blacksmith.wav,1727999,38687969,805.9993541666666,480000,10.0
33,02-33,wav/02_montreal_bagpipe_parade__33_cattle_auction.wav,1727999,39935968,831.9993333333333,480000,10.0
34,02-34,wav/02_montreal_bagpipe_parade__34_ferry_alarm.wav,1727999,41183967,857.9993125,480000,10.0
35,02-35,wav/02_montreal_bagpipe_parade__35_flooded_mine.wav,1727999,42431966,883.9992916666666,480000,10.0
36,02-36,wav/02_montreal_bagpipe_parade__36_cappuccino_process.wav,1727999,43679965,909.9992708333333,480000,10.0
37,02-37,wav/02_montreal_bagpipe_parade__37_tennis_match.wav,1727999,44927964,935.99925,480000,10.0
38,02-38,wav/02_montreal_bagpipe_parade__38_chainsaw_cycle.wav,1727999,46175963,961.9992291666666,480000,10.0
39,02-39,wav/02_montreal_bagpipe_parade__39_near_foghorn.wav,1727999,47423962,987.9992083333333,480000,10.0
40,02-40,wav/02_montreal_bagpipe_parade__40_barcelona_gate_pa.wav,1727999,48671961,1013.9991875,480000,10.0
41,02-41,wav/02_montreal_bagpipe_parade__41_delhi_subway_cycle.wav,1727999,49919960,1039.9991666666667,480000,10.0
