pair,approach,left,right,short_fingerprint,long_fingerprint,chord_index,chord_steps,chord_frequencies_hz,pitch_algorithm_version,processed_role,gesture_fingerprint,note_levels_db_below_local,note_durations_seconds,note_envelopes,instrument,instrument_parameters,scheduled_note_count,preprocess_dry_correlation,preprocess_difference_rms_db_relative,unscaled_convolved_tone_rms_db_relative,tone_gain_db,target_convolved_tone_rms_db_relative,scaled_convolved_tone_rms_db_relative,path,channels,trim_frames,trim_seconds,frames,duration_seconds,peak,rms,rms_dbfs,dc_offset,clipped_samples,non_finite_samples,left_peak,left_rms_dbfs,left_dc_offset,right_peak,right_rms_dbfs,right_dc_offset,stereo_difference_rms,stereo_difference_rms_dbfs
01-25,long_additive_synth,gamelan_court,thunder_mountain,8b79b8462a4e6fac,4e2a8e922a968e95,12,12;3;7,208.577057;129.080658;159.766510,sparse-hashed-13edo-gradual-drones-v14,long,24cdce691019ec49,10.869706;7.777475;8.357628,6.902884;3.386940;3.870996,broad_swell;late_bloom;breathing_drone,inharmonic_fm,detune_cents=30.980;feedback=0.354;crossfeedback_percent=8.000;index=6.449->2.662;clean_percent=45.000;raw_fm_percent=40.000;parallel_ruin_percent=15.000;phase_drift_radians=0.080;drive=2.618;folds=2,6,0.9426127,-9.020599,-6.959979,5.459979,-1.5,-1.4999995,wav/01_gamelan_court__25_thunder_mountain.wav,2,288000,6.0,1727999,35.99997916666667,0.66015446,0.097489245,-20.220867,1.17342225e-8,0,0,0.59957266,-20.208946,7.630956e-9,0.66015446,-20.23282,1.583749e-8,0.13570102,-17.34834
01-26,long_additive_synth,gamelan_court,inside_car_wash,8b79b8462a4e6fac,903a06c594b2e6cb,2,2;6;10,122.378456;151.471039;187.479691,sparse-hashed-13edo-gradual-drones-v14,long,d4396b0325fee483,9.990220;9.600325;10.678492,5.637441;5.153384;6.605553,breathing_drone;late_bloom;broad_swell,saturated_saw_cluster,detune_cents=73.881;drift_cents=23.173;drive=7.102;folds=4;alias_percent=64.388;bits=7;hard_sync_percent=60.087;sample_hold_frames=4,3,0.9588486,-10.573349,-11.214922,9.714922,-1.5,-1.4999995,wav/01_gamelan_court__26_inside_car_wash.wav,2,288000,6.0,1727999,35.99997916666667,0.7380923,0.097041875,-20.260815,-5.7121166e-9,0,0,0.6562656,-20.214802,-4.515188e-9,0.7380923,-20.307327,-6.9090453e-9,0.13768585,-17.222214
01-27,long_additive_synth,gamelan_court,peru_new_year_fireworks,8b79b8462a4e6fac,83317dd5c74822ca,10,10;1;5,187.479691;116.024269;143.606293,sparse-hashed-13edo-gradual-drones-v14,long,b81538cd6b5ab56a,10.368651;10.697655;7.419304,6.150708;6.634765;3.118821,soft_drone;broad_swell;late_bloom,modal_noise_resonator,detune_cents=39.438;mode_disorder_percent=3.794;resonated_noise_percent=10.373;clean_percent=60.000;parallel_ruin_percent=29.627;drive=4.169;folds=1,6,0.94919777,-9.609118,-2.9601803,1.4601803,-1.5,-1.4999995,wav/01_gamelan_court__27_peru_new_year_fireworks.wav,2,288000,6.0,1727999,35.99997916666667,0.54057693,0.09810984,-20.165749,-3.1830114e-9,0,0,0.50500184,-20.167198,-2.4477562e-9,0.54057693,-20.164299,-3.9182666e-9,0.14230773,-16.93543
01-28,long_additive_synth,gamelan_court,efteling_steam_train,8b79b8462a4e6fac,9a412959184abdf9,2,2;6;10,122.378456;151.471039;187.479691,sparse-hashed-13edo-gradual-drones-v14,long,731385ab505b7117,7.282328;10.633804;8.489239,3.021988;6.537932;3.990101,soft_drone;breathing_drone;breathing_drone,saturated_saw_cluster,detune_cents=77.278;drift_cents=22.053;drive=8.102;folds=4;alias_percent=60.746;bits=5;hard_sync_percent=64.200;sample_hold_frames=4,3,0.9711301,-12.196946,-16.678358,15.178358,-1.5,-1.5,wav/01_gamelan_court__28_efteling_steam_train.wav,2,288000,6.0,1727999,35.99997916666667,0.5573788,0.09800693,-20.174866,-1.5321038e-9,0,0,0.51484257,-20.162851,-1.2248664e-9,0.5573788,-20.18691,-1.8393411e-9,0.1415457,-16.982067
01-29,long_additive_synth,gamelan_court,helicopter_takeoff,8b79b8462a4e6fac,4534148b4903c233,4,4;8;12,136.149902;168.516296;208.577057,sparse-hashed-13edo-gradual-drones-v14,long,6cdb803c3a19f005,9.999390;9.610356;10.686319,5.649357;5.165301;6.617470,broad_swell;soft_drone;breathing_drone,modal_noise_resonator,detune_cents=54.781;mode_disorder_percent=3.402;resonated_noise_percent=15.542;clean_percent=60.000;parallel_ruin_percent=24.458;drive=4.372;folds=2,3,0.9780364,-13.425547,-13.993584,12.493584,-1.5,-1.4999995,wav/01_gamelan_court__29_helicopter_takeoff.wav,2,288000,6.0,1727999,35.99997916666667,0.54623765,0.098269664,-20.151611,6.51403e-9,0,0,0.48813358,-20.143398,2.3840863e-9,0.54623765,-20.159838,1.0643975e-8,0.14233743,-16.933617
01-30,long_additive_synth,gamelan_court,scuba_bubbles,8b79b8462a4e6fac,d2eaf6d35c117589,9,9;0;4,177.745285;110.000000;136.149902,sparse-hashed-13edo-gradual-drones-v14,long,0c5d269184a24334,8.997017;8.501017;9.845839,4.484993;4.000937;5.453105,broad_swell;soft_drone;breathing_drone,inharmonic_fm,detune_cents=45.182;feedback=0.393;crossfeedback_percent=8.000;index=8.428->2.761;clean_percent=45.000;raw_fm_percent=40.000;parallel_ruin_percent=15.000;phase_drift_radians=0.080;drive=2.900;folds=3,3,0.9736949,-12.612759,-5.090485,3.590485,-1.5,-1.5000007,wav/01_gamelan_court__30_scuba_bubbles.wav,2,288000,6.0,1727999,35.99997916666667,0.58248335,0.09785521,-20.188322,9.0569e-11,0,0,0.58248335,-20.181366,1.8194336e-9,0.55573016,-20.19529,-1.6382956e-9,0.13513215,-17.384827
01-31,long_additive_synth,gamelan_court,building_demolition,8b79b8462a4e6fac,d502a0866ac3b927,2,2;6;10,122.378456;151.471039;187.479691,sparse-hashed-13edo-gradual-drones-v14,long,d488d283c72a241d,8.841641;8.326460;7.741834,4.327371;3.843315;3.359259,broad_swell;soft_drone;breathing_drone,modal_noise_resonator,detune_cents=41.556;mode_disorder_percent=3.521;resonated_noise_percent=16.635;clean_percent=60.000;parallel_ruin_percent=23.365;drive=4.014;folds=2,5,0.9592408,-10.633191,-8.536721,7.036721,-1.5,-1.5,wav/01_gamelan_court__31_building_demolition.wav,2,288000,6.0,1727999,35.99997916666667,0.5666687,0.09770744,-20.201447,5.86354e-9,0,0,0.5558367,-20.14554,1.0824665e-8,0.5666687,-20.258083,9.0241536e-10,0.13573983,-17.345854
01-32,long_additive_synth,gamelan_court,finnish_blacksmith,8b79b8462a4e6fac,8828c2d1c0ff4488,6,6;10;1,151.471039;187.479691;116.024269,sparse-hashed-13edo-gradual-drones-v14,long,ab32aeb939edf119,9.548083;9.942488;8.632221,5.091765;5.575821;4.123652,late_bloom;breathing_drone;soft_drone,saturated_saw_cluster,detune_cents=70.232;drift_cents=22.082;drive=9.374;folds=3;alias_percent=60.282;bits=5;hard_sync_percent=49.255;sample_hold_frames=3,4,0.9801182,-13.876208,-12.8752575,11.3752575,-1.5,-1.4999981,wav/01_gamelan_court__32_finnish_blacksmith.wav,2,288000,6.0,1727999,35.99997916666667,0.52731586,0.09841788,-20.138521,-1.07812195e-8,0,0,0.45309168,-20.13608,-1.0265344e-8,0.52731586,-20.14096,-1.1297094e-8,0.1351155,-17.385897
01-33,long_additive_synth,gamelan_court,cattle_auction,8b79b8462a4e6fac,63aeff78df8557af,2,2;6;10,122.378456;151.471039;187.479691,sparse-hashed-13edo-gradual-drones-v14,long,2780359e2f04d912,9.713658;10.093936;8.835770,5.289636;5.773692;4.321524,broad_swell;late_bloom;breathing_drone,inharmonic_fm,detune_cents=42.296;feedback=0.454;crossfeedback_percent=8.000;index=8.826->2.774;clean_percent=45.000;raw_fm_percent=40.000;parallel_ruin_percent=15.000;phase_drift_radians=0.080;drive=2.845;folds=2,4,0.9521598,-9.829668,-1.5220691,0.022069097,-1.5,-1.5,wav/01_gamelan_court__33_cattle_auction.wav,2,288000,6.0,1727999,35.99997916666667,0.55471146,0.09722896,-20.244087,-2.4295432e-9,0,0,0.55471146,-20.236034,-2.226461e-9,0.51556504,-20.252153,-2.6326252e-9,0.13525316,-17.37705
01-34,long_additive_synth,gamelan_court,ferry_alarm,8b79b8462a4e6fac,63fa0671c3c8b3fd,9,9;0;4,177.745285;110.000000;136.149902,sparse-hashed-13edo-gradual-drones-v14,long,663c56b8f428a5fc,8.588053;8.039856;7.412327,4.081927;3.597871;3.113814,soft_drone;breathing_drone;late_bloom,inharmonic_fm,detune_cents=46.281;feedback=0.359;crossfeedback_percent=8.000;index=6.372->2.772;clean_percent=45.000;raw_fm_percent=40.000;parallel_ruin_percent=15.000;phase_drift_radians=0.080;drive=2.843;folds=3,5,0.9363466,-8.514118,1.7358358,0.0,-1.5,1.7358358,wav/01_gamelan_court__34_ferry_alarm.wav,2,288000,6.0,1727999,35.99997916666667,0.5747544,0.097515576,-20.218521,2.825625e-9,0,0,0.5747544,-20.231518,1.2333147e-9,0.5607584,-20.205559,4.4179354e-9,0.13716553,-17.2551
