pair,approach,left,right,short_fingerprint,long_fingerprint,chord_index,chord_steps,chord_frequencies_hz,pitch_algorithm_version,processed_role,gesture_fingerprint,note_levels_db_below_local,note_durations_seconds,note_envelopes,instrument,instrument_parameters,scheduled_note_count,preprocess_dry_correlation,preprocess_difference_rms_db_relative,unscaled_convolved_tone_rms_db_relative,tone_gain_db,target_convolved_tone_rms_db_relative,scaled_convolved_tone_rms_db_relative,path,channels,trim_frames,trim_seconds,frames,duration_seconds,peak,rms,rms_dbfs,dc_offset,clipped_samples,non_finite_samples,left_peak,left_rms_dbfs,left_dc_offset,right_peak,right_rms_dbfs,right_dc_offset,stereo_difference_rms,stereo_difference_rms_dbfs
01-25,short_additive_synth,gamelan_court,thunder_mountain,8b79b8462a4e6fac,4e2a8e922a968e95,12,12;3;7,208.577057;129.080658;159.766510,sparse-hashed-13edo-gradual-drones-v14,short,24cdce691019ec49,7.859406;4.767176;5.347328,3.451442;1.693470;1.935498,broad_swell;late_bloom;breathing_drone,inharmonic_fm,detune_cents=30.980;feedback=0.354;crossfeedback_percent=8.000;index=6.449->2.662;clean_percent=45.000;raw_fm_percent=40.000;parallel_ruin_percent=15.000;phase_drift_radians=0.080;drive=2.618;folds=2,2,0.96878487,-11.8391905,-7.702694,6.202694,-1.5,-1.5,wav/01_gamelan_court__25_thunder_mountain.wav,2,288000,6.0,1727999,35.99997916666667,0.565176,0.098031946,-20.17265,9.202781e-9,0,0,0.565176,-20.180325,1.1449948e-8,0.53479576,-20.164984,6.955614e-9,0.1360091,-17.328642
01-26,short_additive_synth,gamelan_court,inside_car_wash,8b79b8462a4e6fac,903a06c594b2e6cb,2,2;6;10,122.378456;151.471039;187.479691,sparse-hashed-13edo-gradual-drones-v14,short,d4396b0325fee483,6.979920;6.590025;7.668192,2.818720;2.576692;3.302776,breathing_drone;late_bloom;broad_swell,saturated_saw_cluster,detune_cents=73.881;drift_cents=23.173;drive=7.102;folds=4;alias_percent=64.388;bits=7;hard_sync_percent=60.087;sample_hold_frames=4,3,0.9299958,-8.047965,-11.536415,10.036415,-1.5,-1.5,wav/01_gamelan_court__26_inside_car_wash.wav,2,288000,6.0,1727999,35.99997916666667,0.8093005,0.095850915,-20.368076,-9.697409e-9,0,0,0.7688401,-20.291615,-6.190467e-9,0.8093005,-20.445904,-1.3204351e-8,0.13483147,-17.404175
01-27,short_additive_synth,gamelan_court,peru_new_year_fireworks,8b79b8462a4e6fac,83317dd5c74822ca,10,10;1;5,187.479691;116.024269;143.606293,sparse-hashed-13edo-gradual-drones-v14,short,b81538cd6b5ab56a,7.358352;7.687355;4.409004,3.075354;3.317382;1.559410,soft_drone;broad_swell;late_bloom,modal_noise_resonator,detune_cents=39.438;mode_disorder_percent=3.794;resonated_noise_percent=10.373;clean_percent=60.000;parallel_ruin_percent=29.627;drive=4.169;folds=1,2,0.9781565,-13.445557,-13.34318,11.84318,-1.5,-1.4999995,wav/01_gamelan_court__27_peru_new_year_fireworks.wav,2,288000,6.0,1727999,35.99997916666667,0.5423955,0.09823059,-20.155066,-1.3128698e-10,0,0,0.5423955,-20.151928,-2.1374904e-9,0.51316804,-20.158203,1.8749164e-9,0.13729887,-17.246662
01-28,short_additive_synth,gamelan_court,efteling_steam_train,8b79b8462a4e6fac,9a412959184abdf9,2,2;6;10,122.378456;151.471039;187.479691,sparse-hashed-13edo-gradual-drones-v14,short,731385ab505b7117,4.272027;7.623505;5.478938,1.510994;3.268966;1.995050,soft_drone;breathing_drone;breathing_drone,saturated_saw_cluster,detune_cents=77.278;drift_cents=22.053;drive=8.102;folds=4;alias_percent=60.746;bits=5;hard_sync_percent=64.200;sample_hold_frames=4,3,0.9309705,-8.123489,-14.781093,13.281093,-1.5,-1.5000007,wav/01_gamelan_court__28_efteling_steam_train.wav,2,288000,6.0,1727999,35.99997916666667,0.5704589,0.098080024,-20.168388,1.6775635e-9,0,0,0.5704589,-20.17106,1.0199561e-9,0.5660665,-20.16572,2.335171e-9,0.14101015,-17.014992
01-29,short_additive_synth,gamelan_court,helicopter_takeoff,8b79b8462a4e6fac,4534148b4903c233,4,4;8;12,136.149902;168.516296;208.577057,sparse-hashed-13edo-gradual-drones-v14,short,6cdb803c3a19f005,6.989090;6.600056;7.676020,2.824678;2.582650;3.308735,broad_swell;soft_drone;breathing_drone,modal_noise_resonator,detune_cents=54.781;mode_disorder_percent=3.402;resonated_noise_percent=15.542;clean_percent=60.000;parallel_ruin_percent=24.458;drive=4.372;folds=2,3,0.9299399,-8.060275,-2.1666489,0.66664886,-1.5,-1.5000007,wav/01_gamelan_court__29_helicopter_takeoff.wav,2,288000,6.0,1727999,35.99997916666667,0.5537843,0.09805679,-20.170444,1.5312128e-9,0,0,0.50784856,-20.15729,-2.7003229e-9,0.5537843,-20.183643,5.7627485e-9,0.13768184,-17.222466
01-30,short_additive_synth,gamelan_court,scuba_bubbles,8b79b8462a4e6fac,d2eaf6d35c117589,9,9;0;4,177.745285;110.000000;136.149902,sparse-hashed-13edo-gradual-drones-v14,short,0c5d269184a24334,5.986717;5.490716;6.835539,2.242496;2.000468;2.726552,broad_swell;soft_drone;breathing_drone,inharmonic_fm,detune_cents=45.182;feedback=0.393;crossfeedback_percent=8.000;index=8.428->2.761;clean_percent=45.000;raw_fm_percent=40.000;parallel_ruin_percent=15.000;phase_drift_radians=0.080;drive=2.900;folds=3,3,0.9163859,-7.204296,-10.486662,8.986662,-1.5,-1.5000007,wav/01_gamelan_court__30_scuba_bubbles.wav,2,288000,6.0,1727999,35.99997916666667,0.5577028,0.09825096,-20.153263,1.5516795e-9,0,0,0.5577028,-20.15149,2.3982323e-9,0.55428267,-20.155039,7.051267e-10,0.13824537,-17.186987
01-31,short_additive_synth,gamelan_court,building_demolition,8b79b8462a4e6fac,d502a0866ac3b927,2,2;6;10,122.378456;151.471039;187.479691,sparse-hashed-13edo-gradual-drones-v14,short,d488d283c72a241d,5.831342;5.316160;4.731534,2.163686;1.921657;1.679629,broad_swell;soft_drone;breathing_drone,modal_noise_resonator,detune_cents=41.556;mode_disorder_percent=3.521;resonated_noise_percent=16.635;clean_percent=60.000;parallel_ruin_percent=23.365;drive=4.014;folds=2,3,0.9250487,-7.7209964,-5.4170914,3.9170914,-1.5,-1.4999995,wav/01_gamelan_court__31_building_demolition.wav,2,288000,6.0,1727999,35.99997916666667,0.5086368,0.09844339,-20.136269,-2.8499265e-9,0,0,0.49083993,-20.142412,3.0281562e-9,0.5086368,-20.130135,-8.728009e-9,0.13410819,-17.450893
01-32,short_additive_synth,gamelan_court,finnish_blacksmith,8b79b8462a4e6fac,8828c2d1c0ff4488,6,6;10;1,151.471039;187.479691;116.024269,sparse-hashed-13edo-gradual-drones-v14,short,ab32aeb939edf119,6.537783;6.932188;5.621921,2.545882;2.787910;2.061826,late_bloom;breathing_drone;soft_drone,saturated_saw_cluster,detune_cents=70.232;drift_cents=22.082;drive=9.374;folds=3;alias_percent=60.282;bits=5;hard_sync_percent=49.255;sample_hold_frames=3,2,0.97015405,-12.02946,-17.465229,15.965229,-1.5,-1.5,wav/01_gamelan_court__32_finnish_blacksmith.wav,2,288000,6.0,1727999,35.99997916666667,0.515871,0.09832149,-20.14703,-1.05705e-9,0,0,0.51434433,-20.144676,1.9008513e-10,0.515871,-20.149385,-2.304185e-9,0.13643762,-17.301317
01-33,short_additive_synth,gamelan_court,cattle_auction,8b79b8462a4e6fac,63aeff78df8557af,2,2;6;10,122.378456;151.471039;187.479691,sparse-hashed-13edo-gradual-drones-v14,short,2780359e2f04d912,6.703358;7.083636;5.825469,2.644818;2.886846;2.160762,broad_swell;late_bloom;breathing_drone,inharmonic_fm,detune_cents=42.296;feedback=0.454;crossfeedback_percent=8.000;index=8.826->2.774;clean_percent=45.000;raw_fm_percent=40.000;parallel_ruin_percent=15.000;phase_drift_radians=0.080;drive=2.845;folds=2,2,0.97829974,-13.487897,-7.128772,5.628772,-1.5,-1.5,wav/01_gamelan_court__33_cattle_auction.wav,2,288000,6.0,1727999,35.99997916666667,0.55693537,0.097659014,-20.205753,-4.1284687e-9,0,0,0.5184868,-20.183468,-2.0457775e-9,0.55693537,-20.228153,-6.21116e-9,0.13975629,-17.092573
01-34,short_additive_synth,gamelan_court,ferry_alarm,8b79b8462a4e6fac,63fa0671c3c8b3fd,9,9;0;4,177.745285;110.000000;136.149902,sparse-hashed-13edo-gradual-drones-v14,short,663c56b8f428a5fc,5.577752;5.029555;4.402028,2.040963;1.798935;1.556907,soft_drone;breathing_drone;late_bloom,inharmonic_fm,detune_cents=46.281;feedback=0.359;crossfeedback_percent=8.000;index=6.372->2.772;clean_percent=45.000;raw_fm_percent=40.000;parallel_ruin_percent=15.000;phase_drift_radians=0.080;drive=2.843;folds=3,3,0.9216663,-7.531672,-8.242712,6.742712,-1.5,-1.4999995,wav/01_gamelan_court__34_ferry_alarm.wav,2,288000,6.0,1727999,35.99997916666667,0.77905756,0.096664146,-20.294693,3.312097e-9,0,0,0.72493786,-20.25232,1.7500335e-9,0.77905756,-20.337482,4.8741606e-9,0.1334957,-17.490654
01-35,short_additive_synth,gamelan_court,flooded_mine,8b79b8462a4e6fac,5ef5719090cb3c3e,4,4;8;12,136.149902;168.516296;208.577057,sparse-hashed-13edo-gradual-drones-v14,short,a3b14d1ef37ef318,7.483968;7.138546;6.763258,3.165606;2.923577;2.681549,broad_swell;soft_drone;breathing_drone,inharmonic_fm,detune_cents=34.349;feedback=0.544;crossfeedback_percent=8.000;index=7.466->2.851;clean_percent=45.000;raw_fm_percent=40.000;parallel_ruin_percent=15.000;phase_drift_radians=0.080;drive=2.481;folds=3,3,0.9247599,-7.7072144,-13.451215,11.951215,-1.5,-1.4999995,wav/01_gamelan_court__35_flooded_mine.wav,2,288000,6.0,1727999,35.99997916666667,0.5865645,0.09806133,-20.170044,-4.692572e-9,0,0,0.5865645,-20.157278,-2.6076825e-9,0.57396877,-20.18285,-6.7774617e-9,0.13708094,-17.260458
01-36,short_additive_synth,gamelan_court,cappuccino_process,8b79b8462a4e6fac,c9cb796a64de33e2,2,2;6;10,122.378456;151.471039;187.479691,sparse-hashed-13edo-gradual-drones-v14,short,f4f44275234eb986,6.399733;5.951138;7.178039,2.466228;2.224200;2.950284,breathing_drone;late_bloom;broad_swell,inharmonic_fm,detune_cents=46.740;feedback=0.429;crossfeedback_percent=8.000;index=7.881->2.842;clean_percent=45.000;raw_fm_percent=40.000;parallel_ruin_percent=15.000;phase_drift_radians=0.080;drive=2.827;folds=3,3,0.91684395,-7.243466,-10.354314,8.854314,-1.5,-1.4999995,wav/01_gamelan_court__36_cappuccino_process.wav,2,288000,6.0,1727999,35.99997916666667,0.78091747,0.0945789,-20.484114,-1.9060181e-8,0,0,0.78091747,-20.500708,-2.0171655e-8,0.7356135,-20.467585,-1.7948706e-8,0.13340227,-17.496735
01-37,short_additive_synth,gamelan_court,tennis_match,8b79b8462a4e6fac,09cb934e68f8f084,12,12;3;7,208.577057;129.080658;159.766510,sparse-hashed-13edo-gradual-drones-v14,short,994664b4934d8374,7.494553;7.813763;6.775751,3.173331;3.415359;2.689274,breathing_drone;soft_drone;broad_swell,inharmonic_fm,detune_cents=28.987;feedback=0.375;crossfeedback_percent=8.000;index=7.040->2.765;clean_percent=45.000;raw_fm_percent=40.000;parallel_ruin_percent=15.000;phase_drift_radians=0.080;drive=2.390;folds=2,2,0.97927064,-13.677125,-14.21755,12.71755,-1.5,-1.5,wav/01_gamelan_court__37_tennis_match.wav,2,288000,6.0,1727999,35.99997916666667,0.6594666,0.09774095,-20.19847,2.241574e-9,0,0,0.5516826,-20.168087,1.5957227e-9,0.6594666,-20.229063,2.8874256e-9,0.13789776,-17.208857
01-38,short_additive_synth,gamelan_court,chainsaw_cycle,8b79b8462a4e6fac,5c7feb9d452f2bef,7,7;11;2,159.766510;197.747208;122.378456,sparse-hashed-13edo-gradual-drones-v14,short,22ee737789277830,7.583127;7.896120;4.841675,3.238715;3.480743;1.722771,soft_drone;broad_swell;late_bloom,modal_noise_resonator,detune_cents=43.415;mode_disorder_percent=5.319;resonated_noise_percent=17.682;clean_percent=60.000;parallel_ruin_percent=22.318;drive=5.187;folds=1,2,0.9792262,-13.679175,-12.648219,11.148219,-1.5,-1.4999995,wav/01_gamelan_court__38_chainsaw_cycle.wav,2,288000,6.0,1727999,35.99997916666667,0.5921152,0.09735441,-20.232887,-9.4723784e-11,0,0,0.5781277,-20.215408,-4.2611425e-9,0.5921152,-20.250435,4.071695e-9,0.1383846,-17.178246
01-39,short_additive_synth,gamelan_court,near_foghorn,8b79b8462a4e6fac,1d6af12c6225ab62,10,10;1;5,187.479691;116.024269;143.606293,sparse-hashed-13edo-gradual-drones-v14,short,765c6d572a7ccbad,6.474125;6.874094;5.543181,2.508838;2.750866;2.024781,breathing_drone;soft_drone;broad_swell,saturated_saw_cluster,detune_cents=82.569;drift_cents=21.178;drive=7.429;folds=3;alias_percent=73.589;bits=7;hard_sync_percent=48.938;sample_hold_frames=3,2,0.9781664,-13.455696,-6.4182434,4.9182434,-1.5,-1.5000007,wav/01_gamelan_court__39_near_foghorn.wav,2,288000,6.0,1727999,35.99997916666667,0.5315228,0.097550705,-20.215393,-9.8648565e-9,0,0,0.5315228,-20.188297,-1.2331812e-8,0.50730324,-20.242657,-7.397901e-9,0.14405148,-16.829645
