id	category	domain	seconds	trim_start	provider	creator	source_page	download_url
gamelan_court	Javanese court gamelan	cross_01	12	10	Freesound via Openverse	SieuAmThanh	https://freesound.org/people/SieuAmThanh/sounds/423647	https://cdn.freesound.org/previews/423/423647_7554526-hq.mp3
montreal_bagpipe_parade	Montreal bagpipe parade	cross_02	12	238.0	Freesound via Openverse	kyles	https://freesound.org/people/kyles/sounds/453868	https://cdn.freesound.org/previews/453/453868_612689-hq.mp3
taiko_drummers	Taiko drum performance	cross_03	12	0.0	Freesound via Openverse	kyles	https://freesound.org/people/kyles/sounds/629930	https://cdn.freesound.org/previews/629/629930_612689-hq.mp3
tabla_percussion	Tabla percussion	cross_04	12	0.0	Freesound	jasonlee3071	https://freesound.org/people/jasonlee3071/sounds/719950	https://cdn.freesound.org/previews/719/719950_7413715-hq.mp3
cello_improvisation	Cello improvisation	cross_05	12	12.2	Freesound	animatrick	https://freesound.org/people/animatrick/sounds/46711	https://cdn.freesound.org/previews/46/46711_395166-hq.mp3
toy_piano_breakdown	Damaged toy piano improvisation	cross_06	12	10.2	Freesound	p_ano	https://freesound.org/people/p_ano/sounds/200415	https://cdn.freesound.org/previews/200/200415_8936-hq.mp3
doepfer_random_melody	Doepfer modular sequence	cross_07	12	163.8	Freesound via Openverse	gis_sweden	https://freesound.org/people/gis_sweden/sounds/362764	https://cdn.freesound.org/previews/362/362764_1391542-hq.mp3
astana_brass_band	Astana riverside brass band	cross_08	12	35.8	Freesound via Openverse	gladkiy	https://freesound.org/people/gladkiy/sounds/350355	https://cdn.freesound.org/previews/350/350355_2364707-hq.mp3
chopin_string_quartet	Chopin string quartet arrangement	cross_09	12	566.7	Wikimedia Commons via Openverse	Frédéric Chopin	https://commons.wikimedia.org/w/index.php?curid=44144182	https://upload.wikimedia.org/wikipedia/commons/a/a4/Chopin_-_Piano_Concerto_no._1%2C_Op._11_%28string_quartet%29-2.ogg
handpan_strikes	Handpan performance	cross_10	12	1	Freesound via Openverse	Johnnie_Holiday	https://freesound.org/people/Johnnie_Holiday/sounds/568142	https://cdn.freesound.org/previews/568/568142_4819210-hq.mp3
madrid_street_accordion	Street accordion musician	cross_11	12	10	Freesound via Openverse	kyles	https://freesound.org/people/kyles/sounds/452410	https://cdn.freesound.org/previews/452/452410_612689-hq.mp3
blues_harmonica	Blues harmonica performance	cross_12	12	10.7	Freesound	Vibratair	https://freesound.org/people/Vibratair/sounds/403104	https://cdn.freesound.org/previews/403/403104_7814793-hq.mp3
electric_mbira	Electric mbira performance	cross_13	12	312.3	Freesound via Openverse	nthnh	https://freesound.org/people/nthnh/sounds/485855	https://cdn.freesound.org/previews/485/485855_5114707-hq.mp3
didgeridoo_shaker_drum	Didgeridoo shaker and drum	cross_14	12	1	Freesound via Openverse	Michael-DB	https://freesound.org/people/Michael-DB/sounds/338320	https://cdn.freesound.org/previews/338/338320_4977896-hq.mp3
opera_rehearsal	Opera singer rehearsal	cross_15	12	156.6	Freesound	schafferdavid	https://freesound.org/people/schafferdavid/sounds/190951	https://cdn.freesound.org/previews/190/190951_98337-hq.mp3
hamburg_church_bells	Hamburg church-bell peal	cross_16	12	10	Freesound via Openverse	bruno.auzet	https://freesound.org/people/bruno.auzet/sounds/547982	https://cdn.freesound.org/previews/547/547982_11519060-hq.mp3
seoul_sanchon_drum	Seoul Sanchon drum	cross_17	12	1	Freesound via Openverse	manuke	https://freesound.org/people/manuke/sounds/315885	https://cdn.freesound.org/previews/315/315885_5356267-hq.mp3
marching_band	Marching-band performance	cross_18	12	10	Freesound via Openverse	kyles	https://freesound.org/people/kyles/sounds/629843	https://cdn.freesound.org/previews/629/629843_612689-hq.mp3
big_band_warmup	Big-band warmup	cross_19	12	142.8	Freesound via Openverse	rambler52	https://freesound.org/people/rambler52/sounds/399039	https://cdn.freesound.org/previews/399/399039_2291385-hq.mp3
spanish_guitar_improvisation	Spanish-style guitar improvisation	cross_20	12	10.7	Freesound	TheScriabin	https://freesound.org/people/TheScriabin/sounds/404952	https://cdn.freesound.org/previews/404/404952_3480533-hq.mp3
christe_choir	Christe choir performance	cross_21	12	10	Freesound via Openverse	BrainClaim	https://freesound.org/people/BrainClaim/sounds/273804	https://cdn.freesound.org/previews/273/273804_4875045-hq.mp3
prospect_drum_circle	Prospect Park drum circle	cross_22	12	123.9	Freesound via Openverse	jeffreylamoureux	https://freesound.org/people/jeffreylamoureux/sounds/548158	https://cdn.freesound.org/previews/548/548158_2267785-hq.mp3
techno_loco	Techno bass and lead	cross_23	12	10	Freesound via Openverse	jammerboy70	https://freesound.org/people/jammerboy70/sounds/398640	https://cdn.freesound.org/previews/398/398640_7237125-hq.mp3
gifu_pipe_organ	Gifu pipe-organ rehearsal	cross_24	12	173.5	Freesound via Openverse	AGFX	https://freesound.org/people/AGFX/sounds/735541	https://cdn.freesound.org/previews/735/735541_50975-hq.mp3
thunder_mountain	Thunder Mountain roller coaster	cross_01	30	10	Freesound via Openverse	Bruce Burbank	https://freesound.org/people/Bruce%20Burbank/sounds/136596	https://cdn.freesound.org/previews/136/136596_2115643-hq.mp3
inside_car_wash	Automatic car-wash cycle	cross_02	30	0.0	Freesound via Openverse	konradgu	https://freesound.org/people/konradgu/sounds/521226	https://cdn.freesound.org/previews/521/521226_9958472-hq.mp3
peru_new_year_fireworks	Peru New Year fireworks	cross_03	30	181.2	Freesound via Openverse	felix.blume	https://freesound.org/people/felix.blume/sounds/140350	https://cdn.freesound.org/previews/140/140350_1661766-hq.mp3
efteling_steam_train	Efteling steam-train journey	cross_04	30	10	Freesound via Openverse	keithpeter	https://freesound.org/people/keithpeter/sounds/125211	https://cdn.freesound.org/previews/125/125211_1848966-hq.mp3
helicopter_takeoff	Small helicopter takeoff	cross_05	30	123.3	Freesound via Openverse	senorstudy	https://freesound.org/people/senorstudy/sounds/172649	https://cdn.freesound.org/previews/172/172649_2262806-hq.mp3
scuba_bubbles	Scuba bubbles and breathing	cross_06	30	10	Freesound via Openverse	sbvitug	https://freesound.org/people/sbvitug/sounds/634225	https://cdn.freesound.org/previews/634/634225_13988658-hq.mp3
building_demolition	Building demolition	cross_07	30	317.4	Freesound via Openverse	Kinoton	https://freesound.org/people/Kinoton/sounds/495269	https://cdn.freesound.org/previews/495/495269_2247456-hq.mp3
finnish_blacksmith	Blacksmith forging process	cross_08	30	10	Freesound via Openverse	thefilmbakery	https://freesound.org/people/thefilmbakery/sounds/137836	https://cdn.freesound.org/previews/137/137836_977564-hq.mp3
cattle_auction	Cattle auctioneer and crowd	cross_09	30	108.5	Freesound via Openverse	TRP	https://freesound.org/people/TRP/sounds/717434	https://cdn.freesound.org/previews/717/717434_97550-hq.mp3
ferry_alarm	Ferry disembarkation alarm	cross_10	30	1	Freesound via Openverse	richwise	https://freesound.org/people/richwise/sounds/440628	https://cdn.freesound.org/previews/440/440628_1481531-hq.mp3
flooded_mine	Walking through flooded mine	cross_11	30	10	Freesound via Openverse	LolitaPerdurabo	https://freesound.org/people/LolitaPerdurabo/sounds/394596	https://cdn.freesound.org/previews/394/394596_1854719-hq.mp3
cappuccino_process	Cappuccino-making process	cross_12	30	93.1	Freesound via Openverse	SoundsLikeJoe	https://freesound.org/people/SoundsLikeJoe/sounds/624512	https://cdn.freesound.org/previews/624/624512_9083-hq.mp3
tennis_match	Tennis match	cross_13	30	266.7	Freesound via Openverse	huubjeroen	https://freesound.org/people/huubjeroen/sounds/114052	https://cdn.freesound.org/previews/114/114052_190760-hq.mp3
chainsaw_cycle	Chainsaw start cut and stop	cross_14	30	79.8	Freesound via Openverse	be_a_hero_not_a_patriot	https://freesound.org/people/be_a_hero_not_a_patriot/sounds/512791	https://cdn.freesound.org/previews/512/512791_5804919-hq.mp3
near_foghorn	Near foghorn sequence	cross_15	30	10	Freesound via Openverse	exuberate	https://freesound.org/people/exuberate/sounds/140898	https://cdn.freesound.org/previews/140/140898_1810340-hq.mp3
barcelona_gate_pa	Barcelona gate announcement	cross_16	30	10	Freesound via Openverse	MPooman	https://freesound.org/people/MPooman/sounds/688778	https://cdn.freesound.org/previews/688/688778_14220990-hq.mp3
delhi_subway_cycle	Delhi subway doors and PA	cross_17	30	363.5	Freesound via Openverse	kyles	https://freesound.org/people/kyles/sounds/637860	https://cdn.freesound.org/previews/637/637860_612689-hq.mp3
hockey_goal	Ice-hockey goal sequence	cross_18	30	10	Freesound via Openverse	fi2lcallpeace	https://freesound.org/people/fi2lcallpeace/sounds/542621	https://cdn.freesound.org/previews/542/542621_4175983-hq.mp3
ambulance_siren	Repeated NYC ambulance passes	cross_19	30	149.5	Freesound via Openverse	jeffreylamoureux	https://freesound.org/people/jeffreylamoureux/sounds/546946	https://cdn.freesound.org/previews/546/546946_2267785-hq.mp3
woodshop_process	Woodshop sawing and planing	cross_20	30	125.4	Freesound via Openverse	BitsyMcNics	https://freesound.org/people/BitsyMcNics/sounds/251645	https://cdn.freesound.org/previews/251/251645_2470637-hq.mp3
tractor_turning_hay	Tractor turning hay	cross_21	30	10	Freesound via Openverse	laboratoriosonoridades2022	https://freesound.org/people/laboratoriosonoridades2022/sounds/673805	https://cdn.freesound.org/previews/673/673805_14577615-hq.mp3
hail_thunder	Hail impacts and thunder	cross_22	30	51.2	Freesound via Openverse	n2fgc	https://freesound.org/people/n2fgc/sounds/342239	https://cdn.freesound.org/previews/342/342239_3631953-hq.mp3
marielle_protest	Marielle Franco protest	cross_23	30	121.3	Freesound via Openverse	felix.blume	https://freesound.org/people/felix.blume/sounds/421973	https://cdn.freesound.org/previews/421/421973_1661766-hq.mp3
hair_salon_tools	Hair salon clippers and dryers	cross_24	30	49.6	Freesound via Openverse	felix.blume	https://freesound.org/people/felix.blume/sounds/706146	https://cdn.freesound.org/previews/706/706146_1661766-hq.mp3
