id	category	kind	seconds	trim_start	provider	creator	license	license_url	source_page	download_url	cache_source
ambient_guitar	Ambient guitar	musical	60	60	Freesound	Tri-Tachyon	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	https://freesound.org/people/Tri-Tachyon/sounds/478318	https://cdn.freesound.org/previews/478/478318_3492460-hq.mp3	../conv4/samples/raw/ambient_guitar.media
drumland_ambient	Ambient percussion	musical_rhythmic	60	100	Jamendo	Drumland	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0/	https://www.jamendo.com/track/866384	https://prod-1.storage.jamendo.com/?trackid=866384&format=mp32	../conv4/samples/raw/drumland_ambient.media
heidelberg_letterpress	Letterpress workshop	rhythmic_activity	60	80	Freesound	shapingwaves	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	https://freesound.org/people/shapingwaves/sounds/362377	https://cdn.freesound.org/previews/362/362377_6667285-hq.mp3	../conv6/samples/raw/heidelberg_letterpress.media
kitchen_washing_dishes	Restaurant kitchen	activity	60	60	Freesound	IraGladoschuk	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	https://freesound.org/people/IraGladoschuk/sounds/632284	https://cdn.freesound.org/previews/632/632284_7513208-hq.mp3	../conv6/samples/raw/kitchen_washing_dishes.media
soccer_audience	Soccer audience	activity_rhythmic	60	30	Freesound	ikbenraar	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	https://freesound.org/people/ikbenraar/sounds/234903	https://cdn.freesound.org/previews/234/234903_754558-hq.mp3	../conv5/samples/raw/soccer_audience.media
jfk_space_race	Historic speech	speech	60	60	Freesound	cityrocker	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/cityrocker/sounds/322026	https://cdn.freesound.org/previews/322/322026_689000-hq.mp3	../conv5/samples/raw/jfk_space_race.media
hockley_evening	Busy city evening	ambient_activity	60	100	Freesound	theplax	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	https://freesound.org/people/theplax/sounds/620819	https://cdn.freesound.org/previews/620/620819_12172648-hq.mp3	../conv5/samples/raw/hockley_evening.media
french_rainstorm	Rainstorm	ambient	60	200	Freesound	kevp888	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	https://freesound.org/people/kevp888/sounds/474000	https://cdn.freesound.org/previews/474/474000_9034501-hq.mp3	../conv5/samples/raw/french_rainstorm.media
ocean_rocks	Ocean surf on rocks	ambient	60	40	Freesound	digifishmusic	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	https://freesound.org/people/digifishmusic/sounds/53493	https://cdn.freesound.org/previews/53/53493_29541-hq.mp3	../conv6/samples/raw/ocean_rocks.media
bee_colony	Bee colony	ambient_activity	60	100	Freesound	Erdie	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	https://freesound.org/people/Erdie/sounds/35089	https://cdn.freesound.org/previews/35/35089_118241-hq.mp3	../conv6/samples/raw/bee_colony.media
indoor_train_station	Indoor train station	ambient_activity	60	100	Freesound	Emanuele_Correani	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	https://freesound.org/people/Emanuele_Correani/sounds/332769	https://cdn.freesound.org/previews/332/332769_2808561-hq.mp3	../conv5/samples/raw/indoor_train_station.media
amazonian_dolphins	Amazonian dolphins underwater	ambient_wildlife	60	60	Freesound	felix.blume	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/felix.blume/sounds/408555	https://cdn.freesound.org/previews/408/408555_1661766-hq.mp3	../conv6/samples/raw/amazonian_dolphins.media

